year,sampled,pass,blocked,unverifiable,agreement_rate,unverifiable_share,era
2005,396,82,68,246,0.5467,0.6212,thin
2006,396,81,37,278,0.6864,0.702,thin
2007,396,241,79,76,0.7531,0.1919,thin
2008,396,270,117,9,0.6977,0.0227,partly-corroborated
2009,394,322,66,6,0.8299,0.0152,corroborated
2010,396,370,25,1,0.9367,0.0025,corroborated
2011,432,420,12,0,0.9722,0.0,corroborated
2012,432,421,6,5,0.9859,0.0116,corroborated
2013,432,424,6,2,0.986,0.0046,corroborated
2014,432,429,3,0,0.9931,0.0,corroborated
2015,432,420,12,0,0.9722,0.0,corroborated
2016,429,421,8,0,0.9814,0.0,corroborated
2017,432,429,3,0,0.9931,0.0,corroborated
2018,432,430,1,1,0.9977,0.0023,corroborated
2019,432,430,2,0,0.9954,0.0,corroborated
2020,432,432,0,0,1.0,0.0,corroborated
2021,432,432,0,0,1.0,0.0,corroborated
2022,430,427,3,0,0.993,0.0,corroborated
2023,432,425,7,0,0.9838,0.0,corroborated
2024,432,424,8,0,0.9815,0.0,corroborated
2025,432,417,15,0,0.9653,0.0,corroborated
