pair,utc_hour,median_ticks
AUDJPY,0,4789.5
AUDJPY,1,5111.5
AUDJPY,2,3915.0
AUDJPY,3,3141.0
AUDJPY,4,2776.0
AUDJPY,5,3328.0
AUDJPY,6,4322.0
AUDJPY,7,5605.0
AUDJPY,8,5445.0
AUDJPY,9,4629.0
AUDJPY,10,4040.0
AUDJPY,11,4090.0
AUDJPY,12,5523.0
AUDJPY,13,6973.0
AUDJPY,14,7917.0
AUDJPY,15,6624.0
AUDJPY,16,4727.0
AUDJPY,17,3782.0
AUDJPY,18,3489.0
AUDJPY,19,3348.0
AUDJPY,20,2393.0
AUDJPY,21,1884.0
AUDJPY,22,2256.0
AUDJPY,23,2536.5
AUDUSD,0,2613.0
AUDUSD,1,3267.0
AUDUSD,2,2573.5
AUDUSD,3,2048.0
AUDUSD,4,1765.5
AUDUSD,5,2118.0
AUDUSD,6,2779.5
AUDUSD,7,3535.0
AUDUSD,8,3447.0
AUDUSD,9,2938.0
AUDUSD,10,2597.0
AUDUSD,11,2636.0
AUDUSD,12,3525.0
AUDUSD,13,4489.0
AUDUSD,14,5075.0
AUDUSD,15,4214.0
AUDUSD,16,2973.0
AUDUSD,17,2404.0
AUDUSD,18,2237.0
AUDUSD,19,2136.0
AUDUSD,20,1495.0
AUDUSD,21,984.5
AUDUSD,22,1163.0
AUDUSD,23,1561.0
EURCHF,0,1772.0
EURCHF,1,1849.0
EURCHF,2,1535.0
EURCHF,3,1286.0
EURCHF,4,1186.0
EURCHF,5,1392.5
EURCHF,6,2420.0
EURCHF,7,3901.0
EURCHF,8,4140.0
EURCHF,9,3624.0
EURCHF,10,3235.0
EURCHF,11,3214.0
EURCHF,12,4149.0
EURCHF,13,4899.0
EURCHF,14,5399.0
EURCHF,15,4792.0
EURCHF,16,3407.0
EURCHF,17,2536.0
EURCHF,18,2246.0
EURCHF,19,2045.0
EURCHF,20,1588.0
EURCHF,21,1216.0
EURCHF,22,1224.0
EURCHF,23,1129.0
EURGBP,0,2092.5
EURGBP,1,2292.0
EURGBP,2,1922.5
EURGBP,3,1655.5
EURGBP,4,1506.5
EURGBP,5,1816.0
EURGBP,6,3216.0
EURGBP,7,4791.0
EURGBP,8,5223.0
EURGBP,9,4703.0
EURGBP,10,4293.0
EURGBP,11,4369.0
EURGBP,12,5206.0
EURGBP,13,5795.0
EURGBP,14,6188.0
EURGBP,15,5638.0
EURGBP,16,4202.0
EURGBP,17,3188.0
EURGBP,18,2817.5
EURGBP,19,2617.0
EURGBP,20,2151.0
EURGBP,21,1684.5
EURGBP,22,1613.0
EURGBP,23,1430.0
EURJPY,0,6375.5
EURJPY,1,6411.0
EURJPY,2,5166.5
EURJPY,3,4397.0
EURJPY,4,4052.0
EURJPY,5,4718.5
EURJPY,6,6365.5
EURJPY,7,8202.5
EURJPY,8,8257.0
EURJPY,9,7248.0
EURJPY,10,6517.0
EURJPY,11,6605.0
EURJPY,12,8248.0
EURJPY,13,9651.0
EURJPY,14,10267.0
EURJPY,15,9023.0
EURJPY,16,6847.0
EURJPY,17,5689.0
EURJPY,18,5355.5
EURJPY,19,5229.0
EURJPY,20,3772.0
EURJPY,21,3008.0
EURJPY,22,3280.5
EURJPY,23,3712.0
EURUSD,0,2664.0
EURUSD,1,2970.5
EURUSD,2,2428.5
EURUSD,3,2003.0
EURUSD,4,1806.5
EURUSD,5,2253.0
EURUSD,6,3760.0
EURUSD,7,5458.5
EURUSD,8,5633.0
EURUSD,9,4950.0
EURUSD,10,4458.0
EURUSD,11,4441.0
EURUSD,12,5745.0
EURUSD,13,6880.0
EURUSD,14,7349.0
EURUSD,15,6426.0
EURUSD,16,4696.0
EURUSD,17,3684.0
EURUSD,18,3288.0
EURUSD,19,3035.0
EURUSD,20,2120.0
EURUSD,21,1466.5
EURUSD,22,1491.0
EURUSD,23,1548.0
GBPJPY,0,5182.0
GBPJPY,1,5204.0
GBPJPY,2,4087.0
GBPJPY,3,3400.5
GBPJPY,4,3170.5
GBPJPY,5,3737.5
GBPJPY,6,5452.5
GBPJPY,7,7621.5
GBPJPY,8,7959.0
GBPJPY,9,7040.0
GBPJPY,10,6250.0
GBPJPY,11,6305.0
GBPJPY,12,7847.0
GBPJPY,13,9516.0
GBPJPY,14,10427.0
GBPJPY,15,9076.0
GBPJPY,16,6623.0
GBPJPY,17,5132.0
GBPJPY,18,4649.0
GBPJPY,19,4374.0
GBPJPY,20,3318.0
GBPJPY,21,2487.5
GBPJPY,22,2643.0
GBPJPY,23,2860.5
GBPUSD,0,2657.0
GBPUSD,1,3040.0
GBPUSD,2,2558.0
GBPUSD,3,2203.5
GBPUSD,4,1985.0
GBPUSD,5,2325.5
GBPUSD,6,3795.0
GBPUSD,7,5550.0
GBPUSD,8,5921.0
GBPUSD,9,5256.0
GBPUSD,10,4837.0
GBPUSD,11,4878.0
GBPUSD,12,5916.0
GBPUSD,13,6969.0
GBPUSD,14,7550.0
GBPUSD,15,6619.0
GBPUSD,16,4805.0
GBPUSD,17,3700.0
GBPUSD,18,3278.0
GBPUSD,19,3042.0
GBPUSD,20,2314.0
GBPUSD,21,1676.5
GBPUSD,22,1597.5
GBPUSD,23,1714.5
NZDUSD,0,2291.0
NZDUSD,1,2771.0
NZDUSD,2,2265.0
NZDUSD,3,1863.0
NZDUSD,4,1589.0
NZDUSD,5,1881.0
NZDUSD,6,2510.0
NZDUSD,7,3094.0
NZDUSD,8,3075.0
NZDUSD,9,2628.0
NZDUSD,10,2404.0
NZDUSD,11,2396.0
NZDUSD,12,3145.0
NZDUSD,13,4039.0
NZDUSD,14,4435.0
NZDUSD,15,3679.0
NZDUSD,16,2686.0
NZDUSD,17,2219.0
NZDUSD,18,1923.0
NZDUSD,19,1729.0
NZDUSD,20,1315.0
NZDUSD,21,947.5
NZDUSD,22,1007.0
NZDUSD,23,1485.0
USDCAD,0,2238.0
USDCAD,1,2749.0
USDCAD,2,2206.5
USDCAD,3,1780.0
USDCAD,4,1516.0
USDCAD,5,1857.0
USDCAD,6,2689.5
USDCAD,7,3678.5
USDCAD,8,3778.0
USDCAD,9,3252.0
USDCAD,10,3083.0
USDCAD,11,3239.0
USDCAD,12,4672.0
USDCAD,13,6090.0
USDCAD,14,6877.0
USDCAD,15,5987.0
USDCAD,16,4396.0
USDCAD,17,3642.0
USDCAD,18,3468.0
USDCAD,19,3266.0
USDCAD,20,2345.0
USDCAD,21,1242.0
USDCAD,22,1153.0
USDCAD,23,1426.0
USDCHF,0,1489.0
USDCHF,1,1626.0
USDCHF,2,1298.0
USDCHF,3,1098.0
USDCHF,4,969.0
USDCHF,5,1178.0
USDCHF,6,2223.0
USDCHF,7,3462.0
USDCHF,8,3628.5
USDCHF,9,3131.0
USDCHF,10,2768.0
USDCHF,11,2771.0
USDCHF,12,3665.0
USDCHF,13,4586.0
USDCHF,14,5102.0
USDCHF,15,4238.0
USDCHF,16,2904.0
USDCHF,17,2234.0
USDCHF,18,1987.5
USDCHF,19,1775.0
USDCHF,20,1279.0
USDCHF,21,940.0
USDCHF,22,958.5
USDCHF,23,946.0
USDJPY,0,4347.5
USDJPY,1,4124.5
USDJPY,2,3047.0
USDJPY,3,2510.0
USDJPY,4,2359.5
USDJPY,5,2719.0
USDJPY,6,3459.0
USDJPY,7,4551.5
USDJPY,8,4483.0
USDJPY,9,3765.0
USDJPY,10,3311.0
USDJPY,11,3372.0
USDJPY,12,4746.0
USDJPY,13,5733.0
USDJPY,14,6356.0
USDJPY,15,5445.0
USDJPY,16,3848.0
USDJPY,17,3135.0
USDJPY,18,2984.5
USDJPY,19,2795.0
USDJPY,20,1934.0
USDJPY,21,1634.0
USDJPY,22,1937.5
USDJPY,23,2131.0
