pair,year,median_ticks,hours,realised_vol_bp
AUDJPY,2005,993.0,6236,11.4103
AUDJPY,2006,965.0,6242,12.395
AUDJPY,2007,2871.5,6264,21.5645
AUDJPY,2008,4131.5,6288,44.4771
AUDJPY,2009,3090.0,6264,31.6668
AUDJPY,2010,3327.5,6262,24.7356
AUDJPY,2011,3326.5,6240,21.5867
AUDJPY,2012,2953.0,6264,14.6284
AUDJPY,2013,3824.0,6227,17.2093
AUDJPY,2014,3101.5,6226,11.8987
AUDJPY,2015,4002.0,6226,16.8317
AUDJPY,2016,5638.0,6240,21.7466
AUDJPY,2017,3864.0,6225,11.4669
AUDJPY,2018,3576.0,6226,12.7559
AUDJPY,2019,3352.0,6223,12.5249
AUDJPY,2020,4161.0,6250,19.4355
AUDJPY,2021,3567.5,6240,11.2544
AUDJPY,2022,7287.0,6239,17.6746
AUDJPY,2023,4498.0,6224,13.8208
AUDJPY,2024,3989.0,6249,14.2655
AUDJPY,2025,4995.5,1008,14.4357
AUDUSD,2005,,,
AUDUSD,2006,,,
AUDUSD,2007,,,
AUDUSD,2008,,,
AUDUSD,2009,,,
AUDUSD,2010,,,
AUDUSD,2011,3186.0,6237,18.2606
AUDUSD,2012,2789.0,6245,11.3119
AUDUSD,2013,2334.5,6226,13.1743
AUDUSD,2014,2070.0,6226,11.2637
AUDUSD,2015,2800.5,6226,16.3542
AUDUSD,2016,3682.0,6239,15.2064
AUDUSD,2017,2510.0,6225,10.4671
AUDUSD,2018,2454.5,6226,10.9296
AUDUSD,2019,2272.0,6223,9.2859
AUDUSD,2020,2748.5,6250,18.1263
AUDUSD,2021,2227.0,6240,11.1883
AUDUSD,2022,4152.5,6240,17.2527
AUDUSD,2023,2477.0,6225,14.1883
AUDUSD,2024,1917.0,6249,11.0643
AUDUSD,2025,2353.0,1008,12.8135
EURCHF,2005,822.0,6236,4.0309
EURCHF,2006,826.0,6242,4.0155
EURCHF,2007,2161.0,6264,5.3644
EURCHF,2008,3656.5,6288,12.0045
EURCHF,2009,2661.0,6264,8.7421
EURCHF,2010,2279.0,6262,11.4444
EURCHF,2011,3268.0,6240,18.4137
EURCHF,2012,991.0,6266,2.7952
EURCHF,2013,1715.0,6228,6.3538
EURCHF,2014,1131.0,6226,2.8376
EURCHF,2015,2357.5,6226,24.3085
EURCHF,2016,3088.0,6239,6.9908
EURCHF,2017,2283.0,6225,6.289
EURCHF,2018,2721.0,6226,6.8995
EURCHF,2019,2877.0,6223,5.5923
EURCHF,2020,2819.0,6250,6.0808
EURCHF,2021,1771.5,6240,4.8871
EURCHF,2022,3848.0,6240,10.3661
EURCHF,2023,2037.0,6219,7.0955
EURCHF,2024,1916.5,6250,7.0791
EURCHF,2025,3296.5,1008,6.6664
EURGBP,2005,418.0,6236,7.3591
EURGBP,2006,411.0,6242,6.0066
EURGBP,2007,2112.0,6264,6.8856
EURGBP,2008,4065.5,6288,15.8949
EURGBP,2009,3216.0,6264,15.7458
EURGBP,2010,3036.0,6262,11.9861
EURGBP,2011,3334.0,6240,11.3036
EURGBP,2012,2258.0,6261,8.0276
EURGBP,2013,2130.5,6226,8.9559
EURGBP,2014,1849.0,6227,7.3656
EURGBP,2015,3037.5,6226,12.6475
EURGBP,2016,4468.0,6239,14.8697
EURGBP,2017,3499.0,6225,10.3455
EURGBP,2018,3481.0,6226,8.2752
EURGBP,2019,3202.0,6223,9.6571
EURGBP,2020,3998.0,6249,11.8753
EURGBP,2021,2256.5,6240,6.9225
EURGBP,2022,4262.5,6240,10.8867
EURGBP,2023,2364.5,6224,6.8942
EURGBP,2024,2110.5,6250,5.2553
EURGBP,2025,3050.0,1008,6.0607
EURJPY,2005,447.0,6236,9.4658
EURJPY,2006,453.0,6242,8.6595
EURJPY,2007,3687.0,6220,13.1556
EURJPY,2008,6213.0,6234,27.1469
EURJPY,2009,3935.0,6081,22.4877
EURJPY,2010,3509.0,6232,20.3622
EURJPY,2011,4042.0,6238,17.9298
EURJPY,2012,3316.0,6237,13.8133
EURJPY,2013,4063.0,6227,16.3226
EURJPY,2014,3321.0,6226,9.3048
EURJPY,2015,5113.5,6226,13.6593
EURJPY,2016,6928.0,6239,16.2925
EURJPY,2017,5304.0,6225,9.9876
EURJPY,2018,5938.5,6226,10.5055
EURJPY,2019,6219.5,6224,8.6538
EURJPY,2020,5827.5,6250,10.9293
EURJPY,2021,3768.5,6240,7.1275
EURJPY,2022,8792.5,6240,15.0194
EURJPY,2023,7909.0,6224,11.7884
EURJPY,2024,7773.0,6250,12.435
EURJPY,2025,9517.5,1008,12.7529
EURUSD,2005,962.0,6236,11.2807
EURUSD,2006,1408.0,6242,9.8408
EURUSD,2007,1942.0,6264,7.8689
EURUSD,2008,4606.0,6288,18.177
EURUSD,2009,1511.0,6260,16.2979
EURUSD,2010,1220.0,6262,14.6184
EURUSD,2011,3859.0,6240,14.8272
EURUSD,2012,3365.0,6266,10.5167
EURUSD,2013,2503.0,6229,10.0333
EURUSD,2014,2313.0,6227,7.7975
EURUSD,2015,3378.5,6226,15.011
EURUSD,2016,4887.0,6239,11.5929
EURUSD,2017,3242.0,6225,8.9831
EURUSD,2018,4030.0,6227,9.281
EURUSD,2019,3975.5,6224,6.7423
EURUSD,2020,4320.0,6250,10.1421
EURUSD,2021,2143.0,6240,7.1579
EURUSD,2022,4902.5,6240,13.5403
EURUSD,2023,3550.0,6225,9.6021
EURUSD,2024,2637.5,6250,7.8967
EURUSD,2025,3678.0,1008,10.6605
GBPJPY,2005,512.0,6236,9.6185
GBPJPY,2006,495.5,6242,9.2156
GBPJPY,2007,3311.0,6264,14.7519
GBPJPY,2008,5032.5,6288,29.8291
GBPJPY,2009,3495.0,6264,26.5597
GBPJPY,2010,3495.5,6262,20.2318
GBPJPY,2011,3841.5,6240,16.2989
GBPJPY,2012,3112.0,6262,12.1357
GBPJPY,2013,4418.0,6226,15.2562
GBPJPY,2014,3795.0,6227,10.3348
GBPJPY,2015,4980.0,6226,12.2259
GBPJPY,2016,7091.0,6239,24.0161
GBPJPY,2017,5569.0,6225,13.0184
GBPJPY,2018,5654.0,6226,12.2077
GBPJPY,2019,4208.0,6223,12.9243
GBPJPY,2020,5511.5,6250,15.0465
GBPJPY,2021,4214.5,6240,9.0355
GBPJPY,2022,7887.5,6240,16.8643
GBPJPY,2023,5186.0,6223,12.0435
GBPJPY,2024,5419.0,6250,12.9398
GBPJPY,2025,7225.5,1008,13.4056
GBPUSD,2005,435.5,6236,10.3021
GBPUSD,2006,431.0,6242,9.8832
GBPUSD,2007,2200.5,6264,8.6769
GBPUSD,2008,3864.5,6288,19.5016
GBPUSD,2009,2936.0,6264,19.5302
GBPUSD,2010,2733.5,6262,13.9293
GBPUSD,2011,3755.5,6240,11.9371
GBPUSD,2012,2570.5,6260,7.946
GBPUSD,2013,2377.0,6227,9.6384
GBPUSD,2014,2181.0,6227,7.4585
GBPUSD,2015,3294.0,6226,10.4502
GBPUSD,2016,4870.0,6239,16.827
GBPUSD,2017,3417.0,6225,10.7197
GBPUSD,2018,3964.0,6226,10.7144
GBPUSD,2019,3895.0,6223,10.8721
GBPUSD,2020,4365.0,6249,14.4393
GBPUSD,2021,2696.0,6240,8.6638
GBPUSD,2022,5932.5,6240,16.5028
GBPUSD,2023,3859.0,6223,10.8517
GBPUSD,2024,2968.5,6250,8.3158
GBPUSD,2025,4022.5,1008,11.1982
NZDUSD,2005,508.0,6236,13.4773
NZDUSD,2006,410.0,6242,15.2956
NZDUSD,2007,1322.0,6264,18.0817
NZDUSD,2008,1395.0,6287,29.6592
NZDUSD,2009,1113.5,6246,26.3805
NZDUSD,2010,1447.5,6262,18.8372
NZDUSD,2011,1915.5,6240,19.5434
NZDUSD,2012,2409.0,6250,12.4718
NZDUSD,2013,1907.5,6226,14.8869
NZDUSD,2014,1902.0,6226,12.2554
NZDUSD,2015,2388.0,6226,17.6746
NZDUSD,2016,3124.0,6240,16.2559
NZDUSD,2017,2369.0,6223,11.7775
NZDUSD,2018,2195.5,6226,11.0166
NZDUSD,2019,2105.0,6223,10.2454
NZDUSD,2020,2284.5,6250,16.9642
NZDUSD,2021,1913.0,6240,11.6946
NZDUSD,2022,3448.0,6240,17.2092
NZDUSD,2023,2449.0,6219,14.3887
NZDUSD,2024,1797.0,6250,11.1819
NZDUSD,2025,1959.5,1008,12.5994
USDCAD,2005,396.0,6236,11.3022
USDCAD,2006,380.0,6242,10.0651
USDCAD,2007,1297.0,6264,12.2657
USDCAD,2008,1555.5,6288,21.0318
USDCAD,2009,1513.0,6264,18.9863
USDCAD,2010,1860.0,6262,14.9162
USDCAD,2011,2021.0,6240,13.573
USDCAD,2012,2132.0,6259,8.5747
USDCAD,2013,1259.0,6227,8.185
USDCAD,2014,1371.0,6226,8.3467
USDCAD,2015,2576.0,6226,12.2929
USDCAD,2016,4737.0,6239,12.3351
USDCAD,2017,3061.0,6225,9.6474
USDCAD,2018,2884.5,6226,8.9849
USDCAD,2019,2818.0,6223,6.6287
USDCAD,2020,3207.0,6250,10.8616
USDCAD,2021,2282.0,6240,8.7601
USDCAD,2022,4120.0,6239,10.7807
