pair,horizon,excess_kurtosis
AUDJPY,5m,632.987
AUDJPY,30m,51.584
AUDJPY,1h,55.037
AUDJPY,4h,26.627
AUDJPY,1d,2.441
AUDUSD,5m,103.36
AUDUSD,30m,22.24
AUDUSD,1h,20.509
AUDUSD,4h,10.751
AUDUSD,1d,1.387
EURCHF,5m,65405.986
EURCHF,30m,17889.084
EURCHF,1h,9277.47
EURCHF,4h,2593.332
EURCHF,1d,783.946
EURGBP,5m,776.695
EURGBP,30m,57.354
EURGBP,1h,55.836
EURGBP,4h,30.206
EURGBP,1d,5.539
EURJPY,5m,293.825
EURJPY,30m,46.61
EURJPY,1h,77.035
EURJPY,4h,65.57
EURJPY,1d,4.115
EURUSD,5m,61.629
EURUSD,30m,23.152
EURUSD,1h,17.763
EURUSD,4h,15.276
EURUSD,1d,2.281
GBPJPY,5m,598.527
GBPJPY,30m,126.054
GBPJPY,1h,257.068
GBPJPY,4h,187.243
GBPJPY,1d,12.679
GBPUSD,5m,853.244
GBPUSD,30m,84.205
GBPUSD,1h,118.822
GBPUSD,4h,83.062
GBPUSD,1d,8.465
NZDUSD,5m,59.331
NZDUSD,30m,22.756
NZDUSD,1h,15.75
NZDUSD,4h,8.976
NZDUSD,1d,1.493
USDCAD,5m,58.197
USDCAD,30m,23.676
USDCAD,1h,14.806
USDCAD,4h,7.846
USDCAD,1d,1.208
USDCHF,5m,25089.544
USDCHF,30m,7686.641
USDCHF,1h,3884.431
USDCHF,4h,926.966
USDCHF,1d,295.871
USDJPY,5m,298.933
USDJPY,30m,55.689
USDJPY,1h,44.229
USDJPY,4h,25.982
USDJPY,1d,3.598
