pair,regime,rho1,rho1_p_value,bars,p_same,continuation_rho
AUDJPY,low,-0.042971,0.0,253078,0.47898,-0.025192
AUDJPY,mid,-0.030598,0.0,253077,0.483116,-0.013421
AUDJPY,high,-0.042705,0.0,253078,0.483483,-0.026278
AUDUSD,low,-0.031081,0.0,253087,0.483898,-0.01857
AUDUSD,mid,-0.026816,0.0,253086,0.487059,-0.013526
AUDUSD,high,-0.034093,0.0,253086,0.486867,-0.026769
EURCHF,low,-0.06439,0.0,252800,0.467537,0.171729
EURCHF,mid,-0.065388,0.0,252800,0.475578,-0.051636
EURCHF,high,0.06709,0.0,252800,0.482678,-0.178174
EURGBP,low,-0.074862,0.0,253028,0.470643,-0.063112
EURGBP,mid,-0.048994,0.0,253028,0.47634,-0.06943
EURGBP,high,-0.053076,0.0,253028,0.482006,-0.025071
EURJPY,low,-0.040558,0.0,252896,0.477851,-0.023896
EURJPY,mid,-0.027592,0.0,252895,0.484366,-0.005474
EURJPY,high,-0.03812,0.0,252895,0.483119,-0.020858
EURUSD,low,-0.035462,0.0,253134,0.48163,-0.026364
EURUSD,mid,-0.024983,0.0,253133,0.486606,-0.011143
EURUSD,high,-0.030207,0.0,253133,0.488074,-0.021168
GBPJPY,low,-0.040297,0.0,252857,0.477246,-0.017794
GBPJPY,mid,-0.025719,0.0,252856,0.481585,-0.028395
GBPJPY,high,-0.031012,0.0,252856,0.483937,-0.011108
GBPUSD,low,-0.040383,0.0,253085,0.479853,-0.025723
GBPUSD,mid,-0.024813,0.0,253085,0.4837,-0.058208
GBPUSD,high,-0.04245,0.0,253085,0.486749,-0.013062
NZDUSD,low,-0.020071,0.0,252948,0.488955,-0.017061
NZDUSD,mid,-0.030092,0.0,252947,0.485867,-0.022652
NZDUSD,high,-0.03242,0.0,252947,0.487454,-0.024585
USDCAD,low,-0.029002,0.0,253025,0.484808,-0.026163
USDCAD,mid,-0.027803,0.0,253024,0.488259,-0.021028
USDCAD,high,-0.029018,0.0,253025,0.486722,-0.017249
USDCHF,low,-0.044082,0.0,252890,0.478645,-0.041051
USDCHF,mid,-0.035362,0.0,252889,0.484187,-0.024809
USDCHF,high,0.025624,0.0,252890,0.487039,-0.04405
USDJPY,low,-0.018277,0.0,253123,0.481354,-0.000297
USDJPY,mid,-0.013503,0.0,253122,0.486896,-0.004359
USDJPY,high,-0.022054,0.0,253122,0.488941,-0.013023
