pair,window_start,window_end,vr4,n
AUDJPY,2015-01-01,2016-12-31,0.93678,149470
AUDJPY,2015-07-01,2017-06-30,0.93924,150019
AUDJPY,2016-01-01,2017-12-31,0.93037,149464
AUDJPY,2016-07-01,2018-06-30,0.94852,149428
AUDJPY,2017-01-01,2018-12-31,0.94588,149290
AUDJPY,2017-07-01,2019-06-30,0.8477,148718
AUDJPY,2018-01-01,2019-12-31,0.85751,149262
AUDJPY,2018-07-01,2020-06-30,0.88048,149287
AUDJPY,2019-01-01,2020-12-31,0.87484,149533
AUDJPY,2019-07-01,2021-06-30,0.93328,149565
AUDJPY,2020-01-01,2021-12-31,0.9317,149719
AUDJPY,2020-07-01,2022-06-30,0.94356,149700
AUDJPY,2021-01-01,2022-12-31,0.95043,149529
AUDJPY,2021-07-01,2023-06-30,0.96171,150029
AUDJPY,2022-01-01,2023-12-31,0.96299,149258
AUDJPY,2022-07-01,2024-06-30,0.96065,149274
AUDJPY,2023-01-01,2024-12-31,0.97599,149355
AUDUSD,2015-01-01,2016-12-31,0.93367,149447
AUDUSD,2015-07-01,2017-06-30,0.9255,150001
AUDUSD,2016-01-01,2017-12-31,0.92693,149446
AUDUSD,2016-07-01,2018-06-30,0.92496,149410
AUDUSD,2017-01-01,2018-12-31,0.93071,149295
AUDUSD,2017-07-01,2019-06-30,0.89545,148718
AUDUSD,2018-01-01,2019-12-31,0.89637,149264
AUDUSD,2018-07-01,2020-06-30,0.91973,149290
AUDUSD,2019-01-01,2020-12-31,0.91716,149498
AUDUSD,2019-07-01,2021-06-30,0.93982,149512
AUDUSD,2020-01-01,2021-12-31,0.93881,149668
AUDUSD,2020-07-01,2022-06-30,0.93934,149665
AUDUSD,2021-01-01,2022-12-31,0.96149,149549
AUDUSD,2021-07-01,2023-06-30,0.9695,150071
AUDUSD,2022-01-01,2023-12-31,0.97344,149331
AUDUSD,2022-07-01,2024-06-30,0.97893,149331
AUDUSD,2023-01-01,2024-12-31,0.97855,149405
EURCHF,2015-01-01,2016-12-31,1.1506,149400
EURCHF,2015-07-01,2017-06-30,0.85667,149959
EURCHF,2016-01-01,2017-12-31,0.87031,149346
EURCHF,2016-07-01,2018-06-30,0.87023,149305
EURCHF,2017-01-01,2018-12-31,0.87948,149152
EURCHF,2017-07-01,2019-06-30,0.87983,148569
EURCHF,2018-01-01,2019-12-31,0.8805,149165
EURCHF,2018-07-01,2020-06-30,0.88205,149180
EURCHF,2019-01-01,2020-12-31,0.88596,149411
EURCHF,2019-07-01,2021-06-30,0.88731,149431
EURCHF,2020-01-01,2021-12-31,0.87305,149512
EURCHF,2020-07-01,2022-06-30,0.9217,149410
EURCHF,2021-01-01,2022-12-31,0.90808,149190
EURCHF,2021-07-01,2023-06-30,0.91688,149669
EURCHF,2022-01-01,2023-12-31,0.92674,148923
EURCHF,2022-07-01,2024-06-30,0.90971,149024
EURCHF,2023-01-01,2024-12-31,0.93389,149189
EURGBP,2015-01-01,2016-12-31,0.90151,149446
EURGBP,2015-07-01,2017-06-30,0.90245,149999
EURGBP,2016-01-01,2017-12-31,0.89057,149436
EURGBP,2016-07-01,2018-06-30,0.86649,149400
EURGBP,2017-01-01,2018-12-31,0.90609,149272
EURGBP,2017-07-01,2019-06-30,0.90977,148684
EURGBP,2018-01-01,2019-12-31,0.90735,149214
EURGBP,2018-07-01,2020-06-30,0.9012,149200
EURGBP,2019-01-01,2020-12-31,0.90612,149422
EURGBP,2019-07-01,2021-06-30,0.90149,149438
EURGBP,2020-01-01,2021-12-31,0.89768,149573
EURGBP,2020-07-01,2022-06-30,0.92504,149553
EURGBP,2021-01-01,2022-12-31,0.91625,149419
EURGBP,2021-07-01,2023-06-30,0.91748,149951
EURGBP,2022-01-01,2023-12-31,0.9172,149256
EURGBP,2022-07-01,2024-06-30,0.90355,149317
EURGBP,2023-01-01,2024-12-31,0.90643,149464
EURJPY,2015-01-01,2016-12-31,0.92589,149447
EURJPY,2015-07-01,2017-06-30,0.92426,149987
EURJPY,2016-01-01,2017-12-31,0.91852,149430
EURJPY,2016-07-01,2018-06-30,0.94127,149394
EURJPY,2017-01-01,2018-12-31,0.94418,149279
EURJPY,2017-07-01,2019-06-30,0.91398,148715
EURJPY,2018-01-01,2019-12-31,0.91282,149254
EURJPY,2018-07-01,2020-06-30,0.89871,149260
EURJPY,2019-01-01,2020-12-31,0.89481,149492
EURJPY,2019-07-01,2021-06-30,0.92557,149491
EURJPY,2020-01-01,2021-12-31,0.92016,149608
EURJPY,2020-07-01,2022-06-30,0.94657,149566
EURJPY,2021-01-01,2022-12-31,0.96135,149372
EURJPY,2021-07-01,2023-06-30,0.97156,149856
EURJPY,2022-01-01,2023-12-31,0.98194,149048
EURJPY,2022-07-01,2024-06-30,0.98475,149045
EURJPY,2023-01-01,2024-12-31,0.99032,149064
EURUSD,2015-01-01,2016-12-31,0.94071,149443
EURUSD,2015-07-01,2017-06-30,0.95154,149995
EURUSD,2016-01-01,2017-12-31,0.94045,149440
EURUSD,2016-07-01,2018-06-30,0.93918,149404
EURUSD,2017-01-01,2018-12-31,0.93877,149296
EURUSD,2017-07-01,2019-06-30,0.94885,148721
EURUSD,2018-01-01,2019-12-31,0.94455,149267
EURUSD,2018-07-01,2020-06-30,0.93465,149295
EURUSD,2019-01-01,2020-12-31,0.93573,149534
EURUSD,2019-07-01,2021-06-30,0.92988,149545
EURUSD,2020-01-01,2021-12-31,0.93239,149722
EURUSD,2020-07-01,2022-06-30,0.9452,149730
EURUSD,2021-01-01,2022-12-31,0.96873,149611
EURUSD,2021-07-01,2023-06-30,0.96803,150123
EURUSD,2022-01-01,2023-12-31,0.97174,149365
EURUSD,2022-07-01,2024-06-30,0.98039,149356
EURUSD,2023-01-01,2024-12-31,0.97824,149449
GBPJPY,2015-01-01,2016-12-31,0.93775,149449
GBPJPY,2015-07-01,2017-06-30,0.93987,149993
GBPJPY,2016-01-01,2017-12-31,0.93653,149431
GBPJPY,2016-07-01,2018-06-30,0.90749,149395
GBPJPY,2017-01-01,2018-12-31,0.93478,149260
GBPJPY,2017-07-01,2019-06-30,0.95337,148658
GBPJPY,2018-01-01,2019-12-31,0.9576,149180
GBPJPY,2018-07-01,2020-06-30,0.95062,149161
GBPJPY,2019-01-01,2020-12-31,0.95411,149369
GBPJPY,2019-07-01,2021-06-30,0.94258,149386
GBPJPY,2020-01-01,2021-12-31,0.94069,149422
GBPJPY,2020-07-01,2022-06-30,0.95547,149354
GBPJPY,2021-01-01,2022-12-31,0.94295,149182
GBPJPY,2021-07-01,2023-06-30,0.95104,149673
GBPJPY,2022-01-01,2023-12-31,0.95799,149035
GBPJPY,2022-07-01,2024-06-30,0.95434,149120
GBPJPY,2023-01-01,2024-12-31,0.98266,149278
GBPUSD,2015-01-01,2016-12-31,0.88746,149449
GBPUSD,2015-07-01,2017-06-30,0.89268,150003
GBPUSD,2016-01-01,2017-12-31,0.89051,149446
GBPUSD,2016-07-01,2018-06-30,0.85423,149410
GBPUSD,2017-01-01,2018-12-31,0.92253,149281
GBPUSD,2017-07-01,2019-06-30,0.92743,148699
GBPUSD,2018-01-01,2019-12-31,0.93309,149228
GBPUSD,2018-07-01,2020-06-30,0.94084,149225
GBPUSD,2019-01-01,2020-12-31,0.95022,149468
GBPUSD,2019-07-01,2021-06-30,0.94895,149500
GBPUSD,2020-01-01,2021-12-31,0.95301,149649
GBPUSD,2020-07-01,2022-06-30,0.96179,149669
GBPUSD,2021-01-01,2022-12-31,0.95929,149536
GBPUSD,2021-07-01,2023-06-30,0.9604,150063
GBPUSD,2022-01-01,2023-12-31,0.9642,149333
GBPUSD,2022-07-01,2024-06-30,0.96396,149344
GBPUSD,2023-01-01,2024-12-31,0.97859,149454
NZDUSD,2015-01-01,2016-12-31,0.91346,149428
NZDUSD,2015-07-01,2017-06-30,0.90963,149956
NZDUSD,2016-01-01,2017-12-31,0.91471,149423
NZDUSD,2016-07-01,2018-06-30,0.92446,149387
NZDUSD,2017-01-01,2018-12-31,0.92401,149266
NZDUSD,2017-07-01,2019-06-30,0.92246,148712
NZDUSD,2018-01-01,2019-12-31,0.94148,149246
NZDUSD,2018-07-01,2020-06-30,0.95386,149265
NZDUSD,2019-01-01,2020-12-31,0.95224,149482
NZDUSD,2019-07-01,2021-06-30,0.95543,149467
NZDUSD,2020-01-01,2021-12-31,0.94484,149616
NZDUSD,2020-07-01,2022-06-30,0.94006,149580
NZDUSD,2021-01-01,2022-12-31,0.95869,149367
NZDUSD,2021-07-01,2023-06-30,0.96439,149811
NZDUSD,2022-01-01,2023-12-31,0.973,149028
NZDUSD,2022-07-01,2024-06-30,0.97462,149068
NZDUSD,2023-01-01,2024-12-31,0.9707,149234
USDCAD,2015-01-01,2016-12-31,0.94122,149440
USDCAD,2015-07-01,2017-06-30,0.93999,149992
USDCAD,2016-01-01,2017-12-31,0.95235,149435
USDCAD,2016-07-01,2018-06-30,0.95635,149400
USDCAD,2017-01-01,2018-12-31,0.95614,149291
USDCAD,2017-07-01,2019-06-30,0.95362,148712
USDCAD,2018-01-01,2019-12-31,0.93954,149253
USDCAD,2018-07-01,2020-06-30,0.97243,149274
USDCAD,2019-01-01,2020-12-31,0.97101,149477
USDCAD,2019-07-01,2021-06-30,0.96873,149496
USDCAD,2020-01-01,2021-12-31,0.96705,149618
USDCAD,2020-07-01,2022-06-30,0.9357,149608
USDCAD,2021-01-01,2022-12-31,0.94949,149458
USDCAD,2021-07-01,2023-06-30,0.95357,149931
USDCAD,2022-01-01,2023-12-31,0.95785,149200
USDCAD,2022-07-01,2024-06-30,0.96803,149217
USDCAD,2023-01-01,2024-12-31,0.97422,149345
USDCHF,2015-01-01,2016-12-31,1.11047,149441
