pair,horizon,sd_bp
AUDJPY,5m,4.655
AUDJPY,30m,10.9364
AUDJPY,1h,15.5369
AUDJPY,4h,30.4233
AUDJPY,1d,72.086
AUDUSD,5m,4.0907
AUDUSD,30m,9.7198
AUDUSD,1h,13.7316
AUDUSD,4h,26.7289
AUDUSD,1d,63.6059
EURCHF,5m,3.6591
EURCHF,30m,7.1866
EURCHF,1h,10.0847
EURCHF,4h,19.3377
EURCHF,1d,49.7735
EURGBP,5m,3.0968
EURGBP,30m,7.2247
EURGBP,1h,10.1086
EURGBP,4h,19.7925
EURGBP,1d,47.8579
EURJPY,5m,3.5332
EURJPY,30m,8.3575
EURJPY,1h,11.9572
EURJPY,4h,24.0523
EURJPY,1d,56.7352
EURUSD,5m,3.0525
EURUSD,30m,7.2996
EURUSD,1h,10.3202
EURUSD,4h,20.5947
EURUSD,1d,48.8993
GBPJPY,5m,4.259
GBPJPY,30m,10.1248
GBPJPY,1h,14.5331
GBPJPY,4h,29.2746
GBPJPY,1d,69.4254
GBPUSD,5m,3.6238
GBPUSD,30m,8.5654
GBPUSD,1h,12.1643
GBPUSD,4h,24.2003
GBPUSD,1d,58.4091
NZDUSD,5m,4.2236
NZDUSD,30m,10.058
NZDUSD,1h,14.1003
NZDUSD,4h,27.3442
NZDUSD,1d,65.7363
USDCAD,5m,2.8691
USDCAD,30m,6.8944
USDCAD,1h,9.6779
USDCAD,4h,18.9063
USDCAD,1d,45.3735
USDCHF,5m,4.0477
USDCHF,30m,8.7792
USDCHF,1h,12.3558
USDCHF,4h,23.9237
USDCHF,1d,59.2813
USDJPY,5m,3.3712
USDJPY,30m,8.0731
USDJPY,1h,11.4645
USDJPY,4h,23.0671
USDJPY,1d,56.1515
