pair,utc_hour,median_spread_pips
AUDJPY,0,0.8126
AUDJPY,1,0.8184
AUDJPY,2,0.7912
AUDJPY,3,0.7845
AUDJPY,4,0.7815
AUDJPY,5,0.779
AUDJPY,6,0.7805
AUDJPY,7,0.7554
AUDJPY,8,0.7409
AUDJPY,9,0.7381
AUDJPY,10,0.7318
AUDJPY,11,0.7306
AUDJPY,12,0.7657
AUDJPY,13,0.7542
AUDJPY,14,0.7366
AUDJPY,15,0.7207
AUDJPY,16,0.734
AUDJPY,17,0.7416
AUDJPY,18,0.7441
AUDJPY,19,0.7615
AUDJPY,20,1.0557
AUDJPY,21,2.7378
AUDJPY,22,1.7239
AUDJPY,23,0.9671
AUDUSD,0,1.0067
AUDUSD,1,1.0065
AUDUSD,2,0.9846
AUDUSD,3,0.9817
AUDUSD,4,0.9793
AUDUSD,5,0.9688
AUDUSD,6,0.9605
AUDUSD,7,0.9553
AUDUSD,8,0.9516
AUDUSD,9,0.9511
AUDUSD,10,0.953
AUDUSD,11,0.9506
AUDUSD,12,0.9609
AUDUSD,13,0.9549
AUDUSD,14,0.9467
AUDUSD,15,0.946
AUDUSD,16,0.9587
AUDUSD,17,0.9816
AUDUSD,18,0.9937
AUDUSD,19,1.0081
AUDUSD,20,1.1453
AUDUSD,21,2.1088
AUDUSD,22,1.4526
AUDUSD,23,1.1029
EURCHF,0,1.2716
EURCHF,1,1.236
EURCHF,2,1.211
EURCHF,3,1.2067
EURCHF,4,1.218
EURCHF,5,1.1936
EURCHF,6,1.1123
EURCHF,7,1.0592
EURCHF,8,1.0254
EURCHF,9,1.013
EURCHF,10,1.0067
EURCHF,11,0.9969
EURCHF,12,1.0213
EURCHF,13,1.0005
EURCHF,14,0.9928
EURCHF,15,0.9794
EURCHF,16,0.9967
EURCHF,17,1.019
EURCHF,18,1.0497
EURCHF,19,1.071
EURCHF,20,1.3592
EURCHF,21,3.8753
EURCHF,22,2.726
EURCHF,23,1.631
EURGBP,0,1.0014
EURGBP,1,0.9855
EURGBP,2,0.9669
EURGBP,3,0.9695
EURGBP,4,0.9615
EURGBP,5,0.9495
EURGBP,6,0.9002
EURGBP,7,0.8394
EURGBP,8,0.8224
EURGBP,9,0.8157
EURGBP,10,0.8048
EURGBP,11,0.801
EURGBP,12,0.814
EURGBP,13,0.8018
EURGBP,14,0.793
EURGBP,15,0.7873
EURGBP,16,0.8064
EURGBP,17,0.8345
EURGBP,18,0.8569
EURGBP,19,0.8754
EURGBP,20,1.0558
EURGBP,21,2.6847
EURGBP,22,1.8014
EURGBP,23,1.1948
EURJPY,0,0.7639
EURJPY,1,0.744
EURJPY,2,0.7269
EURJPY,3,0.7254
EURJPY,4,0.7295
EURJPY,5,0.7241
EURJPY,6,0.6856
EURJPY,7,0.6374
EURJPY,8,0.599
EURJPY,9,0.5981
EURJPY,10,0.5998
EURJPY,11,0.5951
EURJPY,12,0.6149
EURJPY,13,0.6056
EURJPY,14,0.5793
EURJPY,15,0.5795
EURJPY,16,0.6019
EURJPY,17,0.6455
EURJPY,18,0.6754
EURJPY,19,0.7007
EURJPY,20,0.9315
EURJPY,21,2.3352
EURJPY,22,1.7591
EURJPY,23,0.9697
EURUSD,0,0.3244
EURUSD,1,0.3149
EURUSD,2,0.3064
EURUSD,3,0.307
EURUSD,4,0.3079
EURUSD,5,0.3046
EURUSD,6,0.2896
EURUSD,7,0.276
EURUSD,8,0.2684
EURUSD,9,0.267
EURUSD,10,0.2645
EURUSD,11,0.262
EURUSD,12,0.2685
EURUSD,13,0.2664
EURUSD,14,0.2612
EURUSD,15,0.2587
EURUSD,16,0.2623
EURUSD,17,0.2681
EURUSD,18,0.2739
EURUSD,19,0.2804
EURUSD,20,0.359
EURUSD,21,1.0136
EURUSD,22,0.6552
EURUSD,23,0.4094
GBPJPY,0,1.8707
GBPJPY,1,1.8083
GBPJPY,2,1.7626
GBPJPY,3,1.7522
GBPJPY,4,1.7455
GBPJPY,5,1.7197
GBPJPY,6,1.6704
GBPJPY,7,1.5882
GBPJPY,8,1.5675
GBPJPY,9,1.555
GBPJPY,10,1.5421
GBPJPY,11,1.5386
GBPJPY,12,1.5718
GBPJPY,13,1.5594
GBPJPY,14,1.5311
GBPJPY,15,1.5167
GBPJPY,16,1.5638
GBPJPY,17,1.6506
GBPJPY,18,1.6983
GBPJPY,19,1.7469
GBPJPY,20,2.0944
GBPJPY,21,5.5707
GBPJPY,22,3.6358
GBPJPY,23,2.2497
GBPUSD,0,1.0312
GBPUSD,1,1.0116
GBPUSD,2,0.9896
GBPUSD,3,0.9873
GBPUSD,4,0.9901
GBPUSD,5,0.9761
GBPUSD,6,0.913
GBPUSD,7,0.8436
GBPUSD,8,0.8229
GBPUSD,9,0.8168
GBPUSD,10,0.8088
GBPUSD,11,0.8025
GBPUSD,12,0.8174
GBPUSD,13,0.807
GBPUSD,14,0.7907
GBPUSD,15,0.7852
GBPUSD,16,0.8099
GBPUSD,17,0.8511
GBPUSD,18,0.8708
GBPUSD,19,0.8837
GBPUSD,20,1.0607
GBPUSD,21,2.8248
GBPUSD,22,1.9204
GBPUSD,23,1.2503
NZDUSD,0,1.1343
NZDUSD,1,1.127
NZDUSD,2,1.1057
NZDUSD,3,1.1055
NZDUSD,4,1.0971
NZDUSD,5,1.0949
NZDUSD,6,1.0759
NZDUSD,7,1.0548
NZDUSD,8,1.0442
NZDUSD,9,1.0385
NZDUSD,10,1.0399
NZDUSD,11,1.0364
NZDUSD,12,1.047
NZDUSD,13,1.0475
NZDUSD,14,1.0355
NZDUSD,15,1.0348
NZDUSD,16,1.0556
NZDUSD,17,1.0791
NZDUSD,18,1.1113
NZDUSD,19,1.1234
NZDUSD,20,1.3136
NZDUSD,21,2.765
NZDUSD,22,1.8917
NZDUSD,23,1.2895
USDCAD,0,1.238
USDCAD,1,1.2254
USDCAD,2,1.2009
USDCAD,3,1.1915
USDCAD,4,1.1894
USDCAD,5,1.1797
USDCAD,6,1.1332
USDCAD,7,1.0829
USDCAD,8,1.0599
USDCAD,9,1.0585
USDCAD,10,1.0583
USDCAD,11,1.0486
USDCAD,12,1.0657
USDCAD,13,1.0479
USDCAD,14,1.0344
USDCAD,15,1.028
USDCAD,16,1.0546
USDCAD,17,1.0755
USDCAD,18,1.0873
USDCAD,19,1.1005
USDCAD,20,1.2652
USDCAD,21,2.9219
USDCAD,22,2.0716
USDCAD,23,1.442
USDCHF,0,1.1424
USDCHF,1,1.1298
USDCHF,2,1.1126
USDCHF,3,1.1139
USDCHF,4,1.1158
USDCHF,5,1.1061
USDCHF,6,1.0442
USDCHF,7,0.967
USDCHF,8,0.9502
USDCHF,9,0.9403
USDCHF,10,0.9412
USDCHF,11,0.9432
USDCHF,12,0.9542
USDCHF,13,0.9511
USDCHF,14,0.9422
USDCHF,15,0.9374
USDCHF,16,0.9501
USDCHF,17,0.9671
USDCHF,18,0.9827
USDCHF,19,0.9965
USDCHF,20,1.1916
USDCHF,21,3.5294
USDCHF,22,2.378
USDCHF,23,1.4078
USDJPY,0,0.3908
USDJPY,1,0.377
USDJPY,2,0.3628
USDJPY,3,0.3623
USDJPY,4,0.3601
USDJPY,5,0.3596
USDJPY,6,0.3468
USDJPY,7,0.3333
USDJPY,8,0.3258
USDJPY,9,0.3205
USDJPY,10,0.3219
USDJPY,11,0.3214
USDJPY,12,0.3324
USDJPY,13,0.319
USDJPY,14,0.3055
USDJPY,15,0.3023
USDJPY,16,0.3139
USDJPY,17,0.3332
USDJPY,18,0.3494
USDJPY,19,0.3672
USDJPY,20,0.5218
USDJPY,21,1.3713
USDJPY,22,0.9767
USDJPY,23,0.5111
