pair,year,median_spread_pips_in_band,hours_in_band,median_spread_pips_uncontrolled
AUDJPY,2005,2.8789,778,2.8865
AUDJPY,2006,2.8789,779,2.8865
AUDJPY,2007,3.0021,2602,2.9036
AUDJPY,2008,3.0343,3086,3.059
AUDJPY,2009,2.5615,3267,2.6578
AUDJPY,2010,2.1122,3523,2.174
AUDJPY,2011,1.8008,3596,1.8819
AUDJPY,2012,1.4552,3070,1.5131
AUDJPY,2013,1.5589,4212,1.5728
AUDJPY,2014,0.9979,3238,1.008
AUDJPY,2015,1.2705,4537,1.2847
AUDJPY,2016,1.102,4519,1.1032
AUDJPY,2017,0.8206,4341,0.826
AUDJPY,2018,0.5785,3993,0.5895
AUDJPY,2019,0.4714,3497,0.4865
AUDJPY,2020,0.4756,3751,0.4905
AUDJPY,2021,0.4991,3558,0.5165
AUDJPY,2022,0.9295,3743,0.9713
AUDJPY,2023,0.8508,3857,0.8833
AUDJPY,2024,0.8014,3655,0.8179
AUDJPY,2025,0.9201,752,0.944
AUDUSD,2005,,,
AUDUSD,2006,,,
AUDUSD,2007,,,
AUDUSD,2008,,,
AUDUSD,2009,,,
AUDUSD,2010,,,
AUDUSD,2011,1.4094,3352,1.5007
AUDUSD,2012,1.1775,2864,1.2414
AUDUSD,2013,1.1699,1905,1.1777
AUDUSD,2014,0.727,1284,0.7423
AUDUSD,2015,1.0171,2727,1.0337
AUDUSD,2016,0.9595,3093,0.9761
AUDUSD,2017,0.8332,2053,0.8547
AUDUSD,2018,0.8752,2022,0.8983
AUDUSD,2019,0.9253,1810,0.9321
AUDUSD,2020,0.9937,2616,0.9926
AUDUSD,2021,0.996,2006,1.0085
AUDUSD,2022,1.2194,3730,1.2295
AUDUSD,2023,1.1056,2244,1.0644
AUDUSD,2024,0.9702,1454,0.96
AUDUSD,2025,0.9968,325,1.0048
EURCHF,2005,1.9403,519,1.8936
EURCHF,2006,1.8601,520,1.8946
EURCHF,2007,1.85,1939,1.9336
EURCHF,2008,2.2579,2504,2.5524
EURCHF,2009,2.0119,2654,2.4124
EURCHF,2010,1.6766,2069,1.9495
EURCHF,2011,2.0252,3438,2.3805
EURCHF,2012,1.4226,339,1.4325
EURCHF,2013,1.3992,1418,1.5472
EURCHF,2014,0.9833,391,1.0895
EURCHF,2015,1.4342,2430,1.6939
EURCHF,2016,1.0587,2931,1.1684
EURCHF,2017,1.053,1949,1.0906
EURCHF,2018,1.0948,2779,1.1925
EURCHF,2019,0.9309,2868,0.9991
EURCHF,2020,0.8726,2645,0.9704
EURCHF,2021,0.8962,1461,0.9611
EURCHF,2022,1.3823,3341,1.4434
EURCHF,2023,1.1145,1718,1.1132
EURCHF,2024,1.0178,1668,0.998
EURCHF,2025,1.1095,512,1.1674
EURGBP,2005,,0,1.313
EURGBP,2006,,0,1.3132
EURGBP,2007,1.2685,2354,1.3369
EURGBP,2008,1.558,2664,1.734
EURGBP,2009,1.5639,3354,1.8206
EURGBP,2010,1.3678,3170,1.5433
EURGBP,2011,1.2833,3478,1.4255
EURGBP,2012,1.0326,2249,1.1775
EURGBP,2013,1.0604,2003,1.1239
EURGBP,2014,0.7993,1471,0.7969
EURGBP,2015,0.8333,3123,0.8821
EURGBP,2016,0.9109,3614,0.9578
EURGBP,2017,0.8011,3719,0.868
EURGBP,2018,0.8099,3542,0.8907
EURGBP,2019,0.8107,2967,0.8909
EURGBP,2020,0.8377,3351,0.9202
EURGBP,2021,0.7356,2237,0.787
EURGBP,2022,1.0791,3435,1.1212
EURGBP,2023,0.9302,2181,0.9715
EURGBP,2024,0.7855,1866,0.7811
EURGBP,2025,0.8089,498,0.835
EURJPY,2005,1.8466,259,2.0774
EURJPY,2006,1.8467,260,2.0769
EURJPY,2007,1.9064,2815,2.0459
EURJPY,2008,2.1509,3410,2.1536
EURJPY,2009,2.0017,4229,2.0966
EURJPY,2010,1.8418,3690,1.8644
EURJPY,2011,1.6683,4326,1.741
EURJPY,2012,1.3621,3533,1.4321
EURJPY,2013,1.1817,4261,1.1386
EURJPY,2014,0.6433,3446,0.6471
EURJPY,2015,0.7652,5019,0.7811
EURJPY,2016,0.6808,4316,0.6759
EURJPY,2017,0.5198,5428,0.5303
EURJPY,2018,0.601,5594,0.6124
EURJPY,2019,0.5796,4459,0.5845
EURJPY,2020,0.5648,3992,0.5795
EURJPY,2021,0.5298,3637,0.5442
EURJPY,2022,1.0305,3229,1.1386
EURJPY,2023,1.1627,3807,1.1788
EURJPY,2024,1.0703,3529,1.1205
EURJPY,2025,1.2654,486,1.2845
EURUSD,2005,1.2753,1038,1.2736
EURUSD,2006,1.277,874,1.2736
EURUSD,2007,1.0766,2394,1.2863
EURUSD,2008,1.071,4454,1.2527
EURUSD,2009,1.0499,1687,1.0817
