pair,horizon,tail_ratio_p999
AUDJPY,5m,2.2085
AUDJPY,30m,2.1009
AUDJPY,1h,2.1903
AUDJPY,4h,2.0455
AUDJPY,1d,1.5361
AUDUSD,5m,2.2152
AUDUSD,30m,2.3062
AUDUSD,1h,2.1972
AUDUSD,4h,1.9094
AUDUSD,1d,1.4006
EURCHF,5m,1.4936
EURCHF,30m,1.7337
EURCHF,1h,1.6661
EURCHF,4h,1.6452
EURCHF,1d,1.4265
EURGBP,5m,2.2077
EURGBP,30m,2.1997
EURGBP,1h,2.15
EURGBP,4h,1.9897
EURGBP,1d,1.489
EURJPY,5m,2.14
EURJPY,30m,2.1301
EURJPY,1h,2.1308
EURJPY,4h,2.123
EURJPY,1d,1.63
EURUSD,5m,2.2998
EURUSD,30m,2.2726
EURUSD,1h,2.1942
EURUSD,4h,2.092
EURUSD,1d,1.4654
GBPJPY,5m,2.157
GBPJPY,30m,2.106
GBPJPY,1h,2.015
GBPJPY,4h,1.9877
GBPJPY,1d,1.6822
GBPUSD,5m,2.2672
GBPUSD,30m,2.2966
GBPUSD,1h,2.2112
GBPUSD,4h,2.0291
GBPUSD,1d,1.8108
NZDUSD,5m,2.1647
NZDUSD,30m,2.3539
NZDUSD,1h,2.2715
NZDUSD,4h,1.952
NZDUSD,1d,1.3064
USDCAD,5m,2.152
USDCAD,30m,2.2533
USDCAD,1h,2.2465
USDCAD,4h,1.8952
USDCAD,1d,1.2468
USDCHF,5m,1.7764
USDCHF,30m,2.0154
USDCHF,1h,2.0124
USDCHF,4h,1.7687
USDCHF,1d,1.2802
USDJPY,5m,2.2851
USDJPY,30m,2.2891
USDJPY,1h,2.2401
USDJPY,4h,2.2891
USDJPY,1d,1.6759
