pair,q,vr,z,p_value
AUDJPY,2,0.98436,-0.634,0.5261207344
AUDJPY,4,0.98768,-0.266,0.7899902598
AUDJPY,8,0.98268,-0.24,0.8103781624
AUDJPY,16,0.95202,-0.456,0.6485696186
AUDJPY,32,0.85822,-0.962,0.3360735484
AUDUSD,2,0.98174,-0.801,0.4230080675
AUDUSD,4,0.97243,-0.643,0.5201259789
AUDUSD,8,0.96574,-0.504,0.613942426
AUDUSD,16,0.92398,-0.758,0.4486533788
AUDUSD,32,0.84938,-1.053,0.2924509656
EURCHF,2,0.9897,-0.836,0.4030764691
EURCHF,4,0.90445,-1.152,0.2491655209
EURCHF,8,0.91795,-0.606,0.5445932838
EURCHF,16,0.59033,-2.078,0.0377364323
EURCHF,32,0.40472,-2.32,0.020352992
EURGBP,2,1.01,0.313,0.7544442115
EURGBP,4,1.01824,0.331,0.7408213213
EURGBP,8,0.96614,-0.413,0.6792908405
EURGBP,16,0.88949,-0.956,0.3393221727
EURGBP,32,0.813,-1.169,0.2425323849
EURJPY,2,0.97774,-0.935,0.3499460675
EURJPY,4,0.9556,-1.021,0.3070503266
EURJPY,8,0.93491,-0.968,0.3332371665
EURJPY,16,0.87945,-1.222,0.2217720674
EURJPY,32,0.72941,-1.927,0.0540301094
EURUSD,2,1.00661,0.282,0.7782255134
EURUSD,4,0.98469,-0.351,0.7252700734
EURUSD,8,0.94114,-0.855,0.3923138437
EURUSD,16,0.85545,-1.425,0.1541378808
EURUSD,32,0.81134,-1.31,0.1902760924
GBPJPY,2,1.02734,0.747,0.455193468
GBPJPY,4,1.06416,1.026,0.305061411
GBPJPY,8,1.08163,0.913,0.3610858774
GBPJPY,16,1.07176,0.573,0.5665843186
GBPJPY,32,0.98536,-0.084,0.9329746282
GBPUSD,2,1.03033,0.857,0.3913640634
GBPUSD,4,1.04475,0.741,0.458976598
GBPUSD,8,0.99826,-0.02,0.9843853296
GBPUSD,16,0.90053,-0.801,0.4230493598
GBPUSD,32,0.83451,-0.987,0.3236678753
NZDUSD,2,0.97462,-1.163,0.2450143589
NZDUSD,4,0.93896,-1.514,0.1300965631
NZDUSD,8,0.93538,-1.008,0.3134386191
NZDUSD,16,0.95081,-0.513,0.6081344544
NZDUSD,32,0.93129,-0.498,0.6181767413
USDCAD,2,0.99924,-0.032,0.9743525627
USDCAD,4,0.96684,-0.764,0.4450771744
USDCAD,8,0.95014,-0.741,0.4587275064
USDCAD,16,0.96161,-0.387,0.6986685269
USDCAD,32,0.92,-0.566,0.5714097208
USDCHF,2,1.02141,1.194,0.2323753743
USDCHF,4,0.97917,-0.356,0.7219477857
USDCHF,8,0.94765,-0.537,0.5911179245
USDCHF,16,0.69727,-2.131,0.0330867545
USDCHF,32,0.60125,-2.203,0.0275768867
USDJPY,2,0.99148,-0.338,0.7357037927
USDJPY,4,0.98096,-0.411,0.6814202078
USDJPY,8,0.99066,-0.127,0.8987409736
USDJPY,16,1.01473,0.137,0.89099973
USDJPY,32,1.05776,0.381,0.7030154888
