pair,q,vr,z,p_value
AUDJPY,2,0.98557,-0.675,0.4996524867
AUDJPY,4,0.97692,-0.66,0.5090288653
AUDJPY,8,0.94873,-1.082,0.2793822581
AUDJPY,16,0.90766,-1.528,0.126555431
AUDJPY,32,,,
AUDUSD,2,1.01709,1.281,0.2001587865
AUDUSD,4,1.00682,0.285,0.7757598057
AUDUSD,8,0.99611,-0.105,0.9163722637
AUDUSD,16,0.97002,-0.576,0.5648501561
AUDUSD,32,,,
EURCHF,2,0.93701,-0.974,0.3299226005
EURCHF,4,1.01923,0.134,0.8930800833
EURCHF,8,1.16338,0.792,0.4281546842
EURCHF,16,1.15148,0.576,0.5647058827
EURCHF,32,,,
EURGBP,2,1.02076,1.046,0.2954150371
EURGBP,4,1.01546,0.476,0.634027778
EURGBP,8,1.00726,0.165,0.8687649291
EURGBP,16,0.94843,-0.92,0.357731549
EURGBP,32,,,
EURJPY,2,0.97319,-0.766,0.4434766342
EURJPY,4,0.96741,-0.587,0.5569951777
EURJPY,8,0.95359,-0.66,0.5091349288
EURJPY,16,0.95097,-0.598,0.5495326192
EURJPY,32,,,
EURUSD,2,0.99822,-0.12,0.9045684644
EURUSD,4,0.97837,-0.872,0.383391079
EURUSD,8,0.9809,-0.551,0.5816772005
EURUSD,16,0.98612,-0.301,0.7637913083
EURUSD,32,,,
GBPJPY,2,0.98502,-0.286,0.775117644
GBPJPY,4,0.99217,-0.096,0.9236247564
GBPJPY,8,0.98228,-0.176,0.8599312561
GBPJPY,16,0.95542,-0.393,0.6946255085
GBPJPY,32,,,
GBPUSD,2,1.00829,0.258,0.7962405577
GBPUSD,4,1.00436,0.086,0.9314264092
GBPUSD,8,1.00375,0.059,0.9529723718
GBPUSD,16,0.98427,-0.209,0.8340705329
GBPUSD,32,,,
NZDUSD,2,1.02319,1.923,0.0545400529
NZDUSD,4,1.01781,0.817,0.4138699958
NZDUSD,8,1.02115,0.616,0.5380801022
NZDUSD,16,1.01903,0.393,0.6946491129
NZDUSD,32,,,
USDCAD,2,1.00975,0.892,0.3726541839
USDCAD,4,0.99602,-0.21,0.8337604109
USDCAD,8,1.013,0.462,0.6443172631
USDCAD,16,1.02972,0.737,0.4610424837
USDCAD,32,,,
USDCHF,2,0.9498,-0.882,0.3777777328
USDCHF,4,0.99174,-0.075,0.9404596831
USDCHF,8,1.09261,0.609,0.5427352079
USDCHF,16,1.12623,0.689,0.4910263354
USDCHF,32,,,
USDJPY,2,0.99484,-0.295,0.7681231064
USDJPY,4,1.00127,0.044,0.9649586475
USDJPY,8,1.01323,0.328,0.7432700478
USDJPY,16,1.03566,0.679,0.4972670282
USDJPY,32,,,
