pair,q,vr,z,p_value
AUDJPY,2,0.95986,-2.861,0.004217273
AUDJPY,4,0.93222,-3.144,0.0016678674
AUDJPY,8,0.92169,-2.942,0.0032642524
AUDJPY,16,0.91555,-2.714,0.0066503893
AUDJPY,32,0.90999,-2.494,0.0126140637
AUDUSD,2,0.96809,-6.685,0.0
AUDUSD,4,0.94335,-7.264,0.0
AUDUSD,8,0.92901,-6.74,0.0
AUDUSD,16,0.92051,-5.872,4.3e-09
AUDUSD,32,0.9191,-4.721,2.3443e-06
EURCHF,2,1.05268,0.304,0.7609122076
EURCHF,4,1.08346,0.256,0.7980198281
EURCHF,8,0.82926,-0.355,0.7227899929
EURCHF,16,0.6842,-0.547,0.5841379559
EURCHF,32,0.63673,-0.578,0.563094305
EURGBP,2,0.94639,-6.538,1e-10
EURGBP,4,0.90596,-6.216,5e-10
EURGBP,8,0.87658,-6.028,1.7e-09
EURGBP,16,0.86715,-5.278,1.306e-07
EURGBP,32,0.87094,-4.225,2.39446e-05
EURJPY,2,0.96416,-3.646,0.0002659162
EURJPY,4,0.94382,-3.536,0.0004060156
EURJPY,8,0.94058,-2.913,0.0035749889
EURJPY,16,0.9464,-2.172,0.0298572096
EURJPY,32,0.95379,-1.512,0.1305726512
EURUSD,2,0.97078,-8.083,0.0
EURUSD,4,0.95038,-7.792,0.0
EURUSD,8,0.93694,-6.931,0.0
EURUSD,16,0.93497,-5.316,1.06e-07
EURUSD,32,0.94204,-3.578,0.0003460754
GBPJPY,2,0.9695,-3.41,0.0006484871
GBPJPY,4,0.94843,-3.402,0.0006697296
GBPJPY,8,0.94666,-2.488,0.0128538229
GBPJPY,16,0.96022,-1.376,0.1688014707
GBPJPY,32,0.9867,-0.342,0.7324738192
GBPUSD,2,0.96118,-3.257,0.0011264135
GBPUSD,4,0.93351,-3.409,0.0006527454
GBPUSD,8,0.9181,-3.296,0.0009796445
GBPUSD,16,0.91807,-2.786,0.0053411992
GBPUSD,32,0.93448,-1.894,0.0582349496
NZDUSD,2,0.96939,-9.349,0.0
NZDUSD,4,0.94151,-10.264,0.0
NZDUSD,8,0.92284,-9.423,0.0
NZDUSD,16,0.90947,-8.232,0.0
NZDUSD,32,0.90661,-6.474,1e-10
USDCAD,2,0.97116,-9.693,0.0
USDCAD,4,0.95271,-9.155,0.0
USDCAD,8,0.94113,-7.867,0.0
USDCAD,16,0.9335,-6.483,1e-10
USDCAD,32,0.93364,-4.828,1.3805e-06
USDCHF,2,1.01545,0.108,0.9137365024
USDCHF,4,1.04562,0.187,0.8517432874
USDCHF,8,0.89441,-0.31,0.7568583898
USDCHF,16,0.78869,-0.524,0.6003400888
USDCHF,32,0.75842,-0.553,0.5805642833
USDJPY,2,0.97977,-2.574,0.0100590342
USDJPY,4,0.96743,-2.503,0.0123237465
USDJPY,8,0.96474,-2.054,0.0399339529
USDJPY,16,0.96731,-1.538,0.12414833
USDJPY,32,0.9704,-1.121,0.2621766324
