pair,lag,acf_abs
AUDJPY,1,0.236693
AUDJPY,2,0.182206
AUDJPY,3,0.162921
AUDJPY,4,0.140501
AUDJPY,5,0.155322
AUDJPY,6,0.140705
AUDJPY,7,0.140158
AUDJPY,8,0.127567
AUDJPY,9,0.127638
AUDJPY,10,0.126636
AUDJPY,11,0.125494
AUDJPY,12,0.137818
AUDJPY,13,0.126866
AUDJPY,14,0.126248
AUDJPY,15,0.12392
AUDJPY,16,0.12068
AUDJPY,17,0.121595
AUDJPY,18,0.120555
AUDJPY,19,0.10464
AUDJPY,20,0.094196
AUDUSD,1,0.21152
AUDUSD,2,0.142488
AUDUSD,3,0.110041
AUDUSD,4,0.09864
AUDUSD,5,0.114805
AUDUSD,6,0.114994
AUDUSD,7,0.091318
AUDUSD,8,0.081311
AUDUSD,9,0.067716
AUDUSD,10,0.074854
AUDUSD,11,0.090964
AUDUSD,12,0.098597
AUDUSD,13,0.098694
AUDUSD,14,0.083373
AUDUSD,15,0.071021
AUDUSD,16,0.079578
AUDUSD,17,0.094519
AUDUSD,18,0.101547
AUDUSD,19,0.081808
AUDUSD,20,0.061002
EURCHF,1,0.209984
EURCHF,2,0.158268
EURCHF,3,0.129515
EURCHF,4,0.110873
EURCHF,5,0.125818
EURCHF,6,0.169652
EURCHF,7,0.136707
EURCHF,8,0.064506
EURCHF,9,0.051714
EURCHF,10,0.088047
EURCHF,11,0.046123
EURCHF,12,0.143559
EURCHF,13,0.100761
EURCHF,14,0.035239
EURCHF,15,0.033001
EURCHF,16,0.058807
EURCHF,17,0.095239
EURCHF,18,0.075735
EURCHF,19,0.093721
EURCHF,20,0.090893
EURGBP,1,0.28958
EURGBP,2,0.238265
EURGBP,3,0.2204
EURGBP,4,0.173813
EURGBP,5,0.151423
EURGBP,6,0.14025
EURGBP,7,0.099355
EURGBP,8,0.071353
EURGBP,9,0.041938
EURGBP,10,0.007571
EURGBP,11,0.000329
EURGBP,12,0.009679
EURGBP,13,-0.000532
EURGBP,14,0.010424
EURGBP,15,0.030904
EURGBP,16,0.053468
EURGBP,17,0.081755
EURGBP,18,0.104942
EURGBP,19,0.136878
EURGBP,20,0.147867
EURJPY,1,0.24599
EURJPY,2,0.186289
EURJPY,3,0.176898
EURJPY,4,0.132781
EURJPY,5,0.138955
EURJPY,6,0.122512
EURJPY,7,0.116456
EURJPY,8,0.108797
EURJPY,9,0.079281
EURJPY,10,0.065326
EURJPY,11,0.075187
EURJPY,12,0.075146
EURJPY,13,0.070483
EURJPY,14,0.069667
EURJPY,15,0.071006
EURJPY,16,0.091048
EURJPY,17,0.094705
EURJPY,18,0.1003
EURJPY,19,0.099324
EURJPY,20,0.096345
EURUSD,1,0.259616
EURUSD,2,0.197936
EURUSD,3,0.155908
EURUSD,4,0.127477
EURUSD,5,0.12703
EURUSD,6,0.113823
EURUSD,7,0.087381
EURUSD,8,0.049175
EURUSD,9,0.014799
EURUSD,10,0.002169
EURUSD,11,0.006053
EURUSD,12,0.013194
EURUSD,13,0.005288
EURUSD,14,-0.000114
EURUSD,15,0.006136
EURUSD,16,0.034547
EURUSD,17,0.068482
EURUSD,18,0.108089
EURUSD,19,0.110881
EURUSD,20,0.10419
GBPJPY,1,0.255834
GBPJPY,2,0.190165
GBPJPY,3,0.224322
GBPJPY,4,0.164717
GBPJPY,5,0.162576
GBPJPY,6,0.138982
GBPJPY,7,0.121315
GBPJPY,8,0.132581
GBPJPY,9,0.086342
GBPJPY,10,0.07066
GBPJPY,11,0.084867
GBPJPY,12,0.084885
GBPJPY,13,0.084928
GBPJPY,14,0.08561
GBPJPY,15,0.086272
GBPJPY,16,0.104146
GBPJPY,17,0.101441
GBPJPY,18,0.107928
GBPJPY,19,0.118404
GBPJPY,20,0.110172
GBPUSD,1,0.272347
GBPUSD,2,0.213429
GBPUSD,3,0.214664
GBPUSD,4,0.164626
GBPUSD,5,0.149679
GBPUSD,6,0.132616
GBPUSD,7,0.094522
GBPUSD,8,0.086927
GBPUSD,9,0.039062
GBPUSD,10,0.008852
GBPUSD,11,0.013316
GBPUSD,12,0.009392
GBPUSD,13,0.01519
GBPUSD,14,0.024836
GBPUSD,15,0.031865
GBPUSD,16,0.05227
GBPUSD,17,0.074837
GBPUSD,18,0.096507
GBPUSD,19,0.120035
GBPUSD,20,0.117059
NZDUSD,1,0.188327
NZDUSD,2,0.133888
NZDUSD,3,0.100432
NZDUSD,4,0.086426
NZDUSD,5,0.101588
NZDUSD,6,0.099087
NZDUSD,7,0.089697
NZDUSD,8,0.07157
NZDUSD,9,0.059178
NZDUSD,10,0.07348
NZDUSD,11,0.086049
NZDUSD,12,0.083288
NZDUSD,13,0.092203
NZDUSD,14,0.074666
NZDUSD,15,0.057847
NZDUSD,16,0.071582
NZDUSD,17,0.09323
NZDUSD,18,0.098807
NZDUSD,19,0.075343
NZDUSD,20,0.06176
USDCAD,1,0.243747
USDCAD,2,0.1906
USDCAD,3,0.142744
USDCAD,4,0.113825
USDCAD,5,0.104544
USDCAD,6,0.091914
USDCAD,7,0.065363
USDCAD,8,0.027957
USDCAD,9,0.002274
USDCAD,10,-0.000487
USDCAD,11,0.010862
USDCAD,12,0.013265
USDCAD,13,0.013979
USDCAD,14,0.002306
USDCAD,15,-0.001264
USDCAD,16,0.026687
USDCAD,17,0.058517
USDCAD,18,0.083888
USDCAD,19,0.093242
USDCAD,20,0.095215
USDCHF,1,0.226035
USDCHF,2,0.163101
USDCHF,3,0.129898
USDCHF,4,0.103808
USDCHF,5,0.133736
USDCHF,6,0.155441
USDCHF,7,0.116198
USDCHF,8,0.044112
USDCHF,9,0.028885
USDCHF,10,0.052894
USDCHF,11,0.023157
USDCHF,12,0.09946
USDCHF,13,0.063835
USDCHF,14,0.011982
USDCHF,15,0.002725
USDCHF,16,0.034637
USDCHF,17,0.066722
USDCHF,18,0.068864
USDCHF,19,0.092625
USDCHF,20,0.096387
USDJPY,1,0.247838
USDJPY,2,0.199369
USDJPY,3,0.173692
USDJPY,4,0.132784
USDJPY,5,0.144125
USDJPY,6,0.134152
USDJPY,7,0.126788
USDJPY,8,0.114784
USDJPY,9,0.108624
USDJPY,10,0.104504
USDJPY,11,0.123302
USDJPY,12,0.135274
USDJPY,13,0.115364
USDJPY,14,0.109906
USDJPY,15,0.098893
USDJPY,16,0.105353
USDJPY,17,0.099223
USDJPY,18,0.120746
USDJPY,19,0.112826
USDJPY,20,0.094009
