pair,lag,acf_abs
AUDJPY,1,0.297307
AUDJPY,2,0.250585
AUDJPY,3,0.232685
AUDJPY,4,0.223814
AUDJPY,5,0.22743
AUDJPY,6,0.218167
AUDJPY,7,0.211608
AUDJPY,8,0.198067
AUDJPY,9,0.19225
AUDJPY,10,0.187341
AUDJPY,11,0.181103
AUDJPY,12,0.191493
AUDJPY,13,0.181006
AUDJPY,14,0.17508
AUDJPY,15,0.175748
AUDJPY,16,0.170162
AUDJPY,17,0.16702
AUDJPY,18,0.165172
AUDJPY,19,0.159832
AUDJPY,20,0.158942
AUDUSD,1,0.270328
AUDUSD,2,0.237153
AUDUSD,3,0.221554
AUDUSD,4,0.210729
AUDUSD,5,0.203613
AUDUSD,6,0.204471
AUDUSD,7,0.194138
AUDUSD,8,0.182514
AUDUSD,9,0.180588
AUDUSD,10,0.175988
AUDUSD,11,0.169051
AUDUSD,12,0.173549
AUDUSD,13,0.16464
AUDUSD,14,0.157493
AUDUSD,15,0.155723
AUDUSD,16,0.149268
AUDUSD,17,0.14822
AUDUSD,18,0.151177
AUDUSD,19,0.142335
AUDUSD,20,0.13524
EURCHF,1,0.552739
EURCHF,2,0.47312
EURCHF,3,0.483177
EURCHF,4,0.304482
EURCHF,5,0.182031
EURCHF,6,0.193543
EURCHF,7,0.122304
EURCHF,8,0.112361
EURCHF,9,0.101283
EURCHF,10,0.091809
EURCHF,11,0.093719
EURCHF,12,0.090516
EURCHF,13,0.090787
EURCHF,14,0.09179
EURCHF,15,0.089634
EURCHF,16,0.09089
EURCHF,17,0.09598
EURCHF,18,0.085207
EURCHF,19,0.082624
EURCHF,20,0.078417
EURGBP,1,0.31717
EURGBP,2,0.288681
EURGBP,3,0.264237
EURGBP,4,0.254779
EURGBP,5,0.252801
EURGBP,6,0.245455
EURGBP,7,0.242259
EURGBP,8,0.236393
EURGBP,9,0.231428
EURGBP,10,0.230609
EURGBP,11,0.236596
EURGBP,12,0.229559
EURGBP,13,0.223656
EURGBP,14,0.217763
EURGBP,15,0.216269
EURGBP,16,0.212392
EURGBP,17,0.211803
EURGBP,18,0.209948
EURGBP,19,0.204608
EURGBP,20,0.201899
EURJPY,1,0.298784
EURJPY,2,0.258208
EURJPY,3,0.233651
EURJPY,4,0.22647
EURJPY,5,0.225221
EURJPY,6,0.21231
EURJPY,7,0.208683
EURJPY,8,0.200676
EURJPY,9,0.193952
EURJPY,10,0.19192
EURJPY,11,0.190337
EURJPY,12,0.190074
EURJPY,13,0.18539
EURJPY,14,0.177647
