pair,utc_hour,mean_abs_bp
AUDJPY,0,13.3989
AUDJPY,1,14.3615
AUDJPY,2,10.8943
AUDJPY,3,9.4569
AUDJPY,4,8.7472
AUDJPY,5,9.023
AUDJPY,6,10.5363
AUDJPY,7,12.0048
AUDJPY,8,11.919
AUDJPY,9,9.9918
AUDJPY,10,8.5834
AUDJPY,11,8.7008
AUDJPY,12,10.9029
AUDJPY,13,12.365
AUDJPY,14,13.8069
AUDJPY,15,13.0409
AUDJPY,16,9.5381
AUDJPY,17,8.2436
AUDJPY,18,8.4152
AUDJPY,19,7.8332
AUDJPY,20,6.428
AUDJPY,21,5.2575
AUDJPY,22,7.5381
AUDJPY,23,8.9709
AUDUSD,0,10.5066
AUDUSD,1,11.9503
AUDUSD,2,9.2399
AUDUSD,3,7.9194
AUDUSD,4,7.1937
AUDUSD,5,7.6824
AUDUSD,6,9.6273
AUDUSD,7,10.9182
AUDUSD,8,10.6545
AUDUSD,9,9.2544
AUDUSD,10,8.1023
AUDUSD,11,8.3361
AUDUSD,12,11.9426
AUDUSD,13,12.9908
AUDUSD,14,13.9787
AUDUSD,15,12.5792
AUDUSD,16,9.0034
AUDUSD,17,7.7572
AUDUSD,18,8.433
AUDUSD,19,7.4482
AUDUSD,20,5.367
AUDUSD,21,4.1629
AUDUSD,22,5.7007
AUDUSD,23,7.0457
EURCHF,0,3.505
EURCHF,1,3.1568
EURCHF,2,3.0275
EURCHF,3,2.6046
EURCHF,4,2.3711
EURCHF,5,3.0024
EURCHF,6,5.0634
EURCHF,7,7.6093
EURCHF,8,7.4128
EURCHF,9,7.3541
EURCHF,10,6.0395
EURCHF,11,5.9264
EURCHF,12,6.5621
EURCHF,13,7.0389
EURCHF,14,8.1951
EURCHF,15,7.3834
EURCHF,16,5.4413
EURCHF,17,4.5633
EURCHF,18,4.0747
EURCHF,19,3.6958
EURCHF,20,3.2293
EURCHF,21,2.7892
EURCHF,22,2.7679
EURCHF,23,2.6032
EURGBP,0,4.2519
EURGBP,1,3.9801
EURGBP,2,3.5478
EURGBP,3,2.9171
EURGBP,4,2.9613
EURGBP,5,3.742
EURGBP,6,6.5173
EURGBP,7,9.3382
EURGBP,8,10.3778
EURGBP,9,9.4025
EURGBP,10,8.8164
EURGBP,11,8.9072
EURGBP,12,9.3509
EURGBP,13,9.6637
EURGBP,14,10.2346
EURGBP,15,9.2952
EURGBP,16,7.1369
EURGBP,17,5.9562
EURGBP,18,4.9704
EURGBP,19,4.432
EURGBP,20,3.8504
EURGBP,21,3.2742
EURGBP,22,3.3525
EURGBP,23,3.461
EURJPY,0,9.0491
EURJPY,1,7.8917
EURJPY,2,6.4844
EURJPY,3,5.6326
EURJPY,4,5.6625
EURJPY,5,6.168
EURJPY,6,8.1568
EURJPY,7,10.776
EURJPY,8,10.771
EURJPY,9,8.9969
EURJPY,10,8.0531
EURJPY,11,8.0813
EURJPY,12,9.8565
EURJPY,13,11.0149
EURJPY,14,11.5243
EURJPY,15,10.2613
EURJPY,16,7.4469
EURJPY,17,6.5831
EURJPY,18,6.0232
EURJPY,19,5.5326
EURJPY,20,4.7994
EURJPY,21,3.856
EURJPY,22,4.9844
EURJPY,23,5.9407
EURUSD,0,5.3834
EURUSD,1,5.1929
EURUSD,2,4.4541
EURUSD,3,3.5977
EURUSD,4,3.4503
EURUSD,5,4.2418
EURUSD,6,6.7143
EURUSD,7,9.3817
EURUSD,8,9.1338
EURUSD,9,7.896
EURUSD,10,7.2333
EURUSD,11,7.3876
EURUSD,12,10.4259
EURUSD,13,11.2733
EURUSD,14,11.4704
EURUSD,15,9.9011
EURUSD,16,7.599
EURUSD,17,6.6741
EURUSD,18,6.5591
EURUSD,19,5.7106
EURUSD,20,4.0426
EURUSD,21,2.7568
EURUSD,22,3.0166
EURUSD,23,3.6024
GBPJPY,0,9.4616
GBPJPY,1,8.6577
GBPJPY,2,7.1393
GBPJPY,3,6.1975
GBPJPY,4,6.1159
GBPJPY,5,6.8163
GBPJPY,6,9.5217
GBPJPY,7,12.4388
GBPJPY,8,13.4051
GBPJPY,9,11.4522
GBPJPY,10,10.189
GBPJPY,11,10.5275
GBPJPY,12,11.6435
GBPJPY,13,12.5009
GBPJPY,14,13.3937
GBPJPY,15,12.2771
GBPJPY,16,9.1098
GBPJPY,17,7.8186
GBPJPY,18,7.2409
GBPJPY,19,6.6488
GBPJPY,20,5.7104
GBPJPY,21,4.6849
GBPJPY,22,6.0305
GBPJPY,23,6.9697
GBPUSD,0,5.6559
GBPUSD,1,5.4744
GBPUSD,2,4.7887
GBPUSD,3,3.7578
GBPUSD,4,3.8769
GBPUSD,5,4.8183
GBPUSD,6,7.9336
GBPUSD,7,10.5472
GBPUSD,8,11.3992
GBPUSD,9,10.1893
GBPUSD,10,9.3694
GBPUSD,11,9.7781
GBPUSD,12,11.5174
GBPUSD,13,11.9051
GBPUSD,14,12.6204
GBPUSD,15,11.5764
GBPUSD,16,8.5818
GBPUSD,17,7.234
