pair,era,cost_bp_p50,median_spread_pips,median_ticks,returns
AUDJPY,2005-2008,5.58459,2.8898,36205.5,1042
AUDJPY,2009-2012,4.33028,2.0148,80786.0,1043
AUDJPY,2013+,2.15025,0.9329,101721.0,3172
AUDUSD,2005-2008,,,,
AUDUSD,2009-2012,2.54705,1.3216,77402.5,520
AUDUSD,2013+,2.66969,0.9995,65026.5,3172
EURCHF,2005-2008,2.42995,1.896,30935.0,1042
EURCHF,2009-2012,2.76982,1.989,62329.0,1043
EURCHF,2013+,2.27304,1.2126,62675.0,3172
EURGBP,2005-2008,3.49627,1.3134,14806.5,1042
EURGBP,2009-2012,3.06083,1.4133,76013.0,1043
EURGBP,2013+,2.24987,0.9206,77788.0,3172
EURJPY,2005-2008,2.72521,2.0751,21306.0,1041
EURJPY,2009-2012,2.86924,1.741,92215.0,1036
EURJPY,2013+,1.45078,0.7295,139462.0,3172
EURUSD,2005-2008,2.07207,1.2694,60895.5,1042
EURUSD,2009-2012,1.60813,0.9401,70951.0,1043
EURUSD,2013+,0.99332,0.2967,89416.0,3172
GBPJPY,2005-2008,3.43799,3.862,20222.5,1042
GBPJPY,2009-2012,3.57548,2.6462,88316.0,1043
GBPJPY,2013+,2.30354,1.7876,132057.0,3172
GBPUSD,2005-2008,2.04887,1.7715,17375.0,1042
GBPUSD,2009-2012,2.18788,1.6975,77591.0,1043
GBPUSD,2013+,1.6235,0.917,91480.5,3172
NZDUSD,2005-2008,9.03234,3.7714,9484.5,68
NZDUSD,2009-2012,4.8783,2.1571,41879.0,1043
NZDUSD,2013+,3.1983,1.1655,57651.0,3172
USDCAD,2005-2008,3.49953,2.1836,13093.0,1042
USDCAD,2009-2012,3.20957,1.7793,54374.0,1043
USDCAD,2013+,1.92191,1.1468,73422.5,3172
USDCHF,2005-2008,2.80977,1.8152,18520.0,1042
USDCHF,2009-2012,3.04169,1.6418,69557.0,1043
USDCHF,2013+,2.32555,1.0815,58054.0,3172
USDJPY,2005-2008,2.64836,1.6007,20821.0,1041
USDJPY,2009-2012,2.31671,1.0161,52465.0,1036
USDJPY,2013+,1.14599,0.4023,80639.0,3172
