pair,era,cost_bp_p50,median_spread_pips,median_ticks,returns
AUDJPY,2005-2008,5.45899,2.8819,4644.0,7231
AUDJPY,2009-2012,4.20812,1.9407,4371.0,13450
AUDJPY,2013+,2.03666,0.8599,4779.0,47575
AUDUSD,2005-2008,,,,
AUDUSD,2009-2012,2.47645,1.2966,4377.0,6214
AUDUSD,2013+,2.64882,0.9981,4080.0,27261
EURCHF,2005-2008,2.42824,1.9424,4648.0,5471
EURCHF,2009-2012,2.80328,1.9223,4097.0,8495
EURCHF,2013+,2.12131,1.0836,4369.0,26077
EURGBP,2005-2008,3.45687,1.3767,5031.0,5009
EURGBP,2009-2012,2.88457,1.3203,4455.0,12248
EURGBP,2013+,2.12381,0.8473,4681.0,33960
EURJPY,2005-2008,2.51525,1.946,5544.0,6734
EURJPY,2009-2012,2.80782,1.7256,4691.0,15768
EURJPY,2013+,1.38726,0.678,5735.0,51086
EURUSD,2005-2008,1.86461,1.1246,5386.0,8731
EURUSD,2009-2012,1.54691,0.8258,4875.0,9384
EURUSD,2013+,0.96611,0.277,4831.0,37480
GBPJPY,2005-2008,3.54593,4.2775,5230.0,6271
GBPJPY,2009-2012,3.54447,2.6093,4745.0,14643
GBPJPY,2013+,2.15907,1.6542,5563.0,50459
GBPUSD,2005-2008,2.00799,1.7859,4947.0,5155
GBPUSD,2009-2012,2.10465,1.585,4717.0,12571
GBPUSD,2013+,1.55913,0.8483,4893.0,38953
NZDUSD,2005-2008,7.86354,3.7207,3930.0,1605
NZDUSD,2009-2012,3.60775,1.5772,3782.0,4443
NZDUSD,2013+,3.17878,1.1309,4016.0,22393
USDCAD,2005-2008,3.91973,2.2487,4449.5,2216
USDCAD,2009-2012,2.92112,1.5296,4066.0,6938
USDCAD,2013+,1.84358,1.089,4429.0,30057
USDCHF,2005-2008,2.84402,1.7434,4893.0,5385
USDCHF,2009-2012,2.90737,1.4992,4242.0,10918
USDCHF,2013+,2.1996,1.0057,4189.5,24106
USDJPY,2005-2008,2.41575,1.3527,4918.0,6093
USDJPY,2009-2012,2.27373,1.0058,3807.0,6129
USDJPY,2013+,1.12172,0.4042,4658.0,36144
