pair,session,cost_bp_p50,median_spread_pips,median_ticks
AUDJPY,london,1.83484,0.7368,4682.0
AUDJPY,london_ny_overlap,1.85303,0.7506,7270.0
AUDJPY,new_york,1.90466,0.7913,3615.0
AUDJPY,sydney,4.17179,1.488,2348.5
AUDJPY,tokyo,1.9406,0.7916,3999.0
AUDUSD,london,2.59799,0.9516,3011.0
AUDUSD,london_ny_overlap,2.59947,0.9538,4656.0
AUDUSD,new_york,2.69681,1.0105,2308.0
AUDUSD,sydney,4.05634,1.3295,1284.0
AUDUSD,tokyo,2.68036,0.9834,2486.0
EURCHF,london,2.03512,1.0112,3619.0
EURCHF,london_ny_overlap,2.02627,1.0032,5171.0
EURCHF,new_york,2.10136,1.0787,2348.0
EURCHF,sydney,5.04414,2.3356,1170.0
EURCHF,tokyo,2.33318,1.1976,1652.0
EURGBP,london,2.03846,0.8102,4712.0
EURGBP,london_ny_overlap,2.03067,0.8006,6028.0
EURGBP,new_york,2.1092,0.8669,2984.0
EURGBP,sydney,4.43887,1.6143,1533.0
EURGBP,tokyo,2.32004,0.9584,2090.0
EURJPY,london,1.32436,0.5995,7332.0
EURJPY,london_ny_overlap,1.31451,0.5962,9884.0
EURJPY,new_york,1.39896,0.7157,5515.5
EURJPY,sydney,2.66621,1.4808,3467.5
EURJPY,tokyo,1.47392,0.725,5454.0
EURUSD,london,0.95496,0.2658,4947.0
EURUSD,london_ny_overlap,0.95163,0.2645,7082.0
EURUSD,new_york,0.96578,0.2801,3386.5
EURUSD,sydney,1.62472,0.5722,1492.0
EURUSD,tokyo,1.01301,0.3068,2563.0
GBPJPY,london,2.1005,1.5498,7027.0
GBPJPY,london_ny_overlap,2.10113,1.5488,9858.0
GBPJPY,new_york,2.19133,1.7651,4880.0
GBPJPY,sydney,4.67863,3.1374,2728.0
GBPJPY,tokyo,2.31446,1.7493,4451.5
GBPUSD,london,1.52802,0.812,5311.0
GBPUSD,london_ny_overlap,1.51421,0.8017,7224.0
GBPUSD,new_york,1.58501,0.8844,3477.0
GBPUSD,sydney,3.10974,1.6931,1639.5
GBPUSD,tokyo,1.7292,0.9771,2695.0
NZDUSD,london,2.96354,1.0405,2683.0
NZDUSD,london_ny_overlap,2.96478,1.0434,4151.0
NZDUSD,new_york,3.11282,1.1209,2036.0
NZDUSD,sydney,5.37103,1.6593,1156.0
NZDUSD,tokyo,3.14838,1.1025,2201.0
USDCAD,london,1.81538,1.057,3438.0
USDCAD,london_ny_overlap,1.79886,1.0475,6322.0
USDCAD,new_york,1.83382,1.1006,3483.0
USDCAD,sydney,3.26753,1.8276,1235.0
USDCAD,tokyo,1.96835,1.192,2187.0
USDCHF,london,2.11805,0.9438,3149.0
USDCHF,london_ny_overlap,2.11776,0.9508,4791.0
USDCHF,new_york,2.17994,1.0093,2057.0
USDCHF,sydney,4.96782,1.9704,949.0
USDCHF,tokyo,2.3557,1.1023,1430.0
USDJPY,london,1.03255,0.3224,3874.0
USDJPY,london_ny_overlap,1.02993,0.3165,6010.0
USDJPY,new_york,1.07549,0.3758,3018.5
USDJPY,sydney,1.9415,0.8254,2013.0
USDJPY,tokyo,1.09761,0.3644,3323.0
