pair,rung,executable_cells,cells_measured
AUDJPY,1.0,16,17
AUDJPY,1.2,16,17
AUDJPY,1.5,14,17
AUDJPY,2.0,11,17
AUDUSD,1.0,15,17
AUDUSD,1.2,12,17
AUDUSD,1.5,11,17
AUDUSD,2.0,10,17
EURCHF,1.0,12,17
EURCHF,1.2,9,17
EURCHF,1.5,8,17
EURCHF,2.0,7,17
EURGBP,1.0,12,17
EURGBP,1.2,12,17
EURGBP,1.5,10,17
EURGBP,2.0,7,17
EURJPY,1.0,16,17
EURJPY,1.2,16,17
EURJPY,1.5,13,17
EURJPY,2.0,12,17
EURUSD,1.0,16,17
EURUSD,1.2,16,17
EURUSD,1.5,14,17
EURUSD,2.0,12,17
GBPJPY,1.0,15,17
GBPJPY,1.2,12,17
GBPJPY,1.5,12,17
GBPJPY,2.0,10,17
GBPUSD,1.0,14,17
GBPUSD,1.2,13,17
GBPUSD,1.5,12,17
GBPUSD,2.0,12,17
NZDUSD,1.0,14,17
NZDUSD,1.2,12,17
NZDUSD,1.5,10,17
NZDUSD,2.0,9,17
USDCAD,1.0,14,17
USDCAD,1.2,11,17
USDCAD,1.5,11,17
USDCAD,2.0,9,17
USDCHF,1.0,12,17
USDCHF,1.2,12,17
USDCHF,1.5,11,17
USDCHF,2.0,9,17
USDJPY,1.0,16,17
USDJPY,1.2,16,17
USDJPY,1.5,16,17
USDJPY,2.0,13,17
