pair,horizon,median_move_over_cost
AUDJPY,5m,1.0507
AUDJPY,30m,2.49
AUDJPY,1h,3.4608
AUDJPY,4h,6.4296
AUDJPY,1d,19.9329
AUDUSD,5m,0.6696
AUDUSD,30m,1.6376
AUDUSD,1h,2.3289
AUDUSD,4h,4.5413
AUDUSD,1d,13.9612
EURCHF,5m,0.4212
EURCHF,30m,1.0031
EURCHF,1h,1.3766
EURCHF,4h,2.5715
EURCHF,1d,8.0158
EURGBP,5m,0.5336
EURGBP,30m,1.2521
EURGBP,1h,1.7238
EURGBP,4h,3.4491
EURGBP,1d,11.1022
EURJPY,5m,1.0523
EURJPY,30m,2.4971
EURJPY,1h,3.527
EURJPY,4h,6.8433
EURJPY,1d,21.7932
EURUSD,5m,1.2282
EURUSD,30m,2.9879
EURUSD,1h,4.2476
EURUSD,4h,8.4826
EURUSD,1d,28.5079
GBPJPY,5m,0.7894
GBPJPY,30m,1.8815
GBPJPY,1h,2.6288
GBPJPY,4h,5.2842
GBPJPY,1d,15.4692
GBPUSD,5m,0.8614
GBPUSD,30m,2.0626
GBPUSD,1h,2.9012
GBPUSD,4h,5.7611
GBPUSD,1d,19.1363
NZDUSD,5m,0.6044
NZDUSD,30m,1.5017
NZDUSD,1h,2.127
NZDUSD,4h,4.108
NZDUSD,1d,12.9042
USDCAD,5m,0.645
USDCAD,30m,1.5729
USDCAD,1h,2.2166
USDCAD,4h,4.3122
USDCAD,1d,13.4929
USDCHF,5m,0.5514
USDCHF,30m,1.3709
USDCHF,1h,1.925
USDCHF,4h,3.7576
USDCHF,1d,11.9714
USDJPY,5m,1.2061
USDJPY,30m,2.9673
USDJPY,1h,4.2053
USDJPY,4h,8.0662
USDJPY,1d,26.1303
