pair,p10,p25,p50,p75,p90,cost_bp_p50
AUDJPY,0.348,0.8997,2.0211,3.8453,6.3975,1.92351
AUDUSD,0.2654,0.796,1.7981,3.5257,5.8033,2.68533
EURCHF,0.1379,0.3718,0.9191,1.8993,3.3534,2.182
EURGBP,0.1754,0.4807,1.1635,2.4124,4.2853,2.18065
EURJPY,0.2488,0.6575,1.4993,2.9159,4.9214,1.42474
EURUSD,0.1788,0.5018,1.2092,2.458,4.2834,0.98455
GBPJPY,0.294,0.7707,1.7554,3.427,5.7985,2.22374
GBPUSD,0.1891,0.6002,1.4028,2.8409,4.9397,1.62846
NZDUSD,0.275,0.8341,1.8813,3.674,6.0447,3.11256
USDCAD,0.157,0.5175,1.2143,2.416,4.1106,1.88274
USDCHF,0.1612,0.5129,1.2353,2.5878,4.4958,2.24032
USDJPY,0.1865,0.5614,1.3058,2.6096,4.5332,1.0827
