pair,cost_ratio,move_ratio,move_over_cost_inside,move_over_cost_outside,share_above_cost_inside,share_above_cost_outside
AUDJPY,1.612,0.541,1.2425,3.7035,0.555368,0.829324
AUDUSD,1.283,0.459,0.8967,2.5048,0.427879,0.762795
EURCHF,1.448,0.617,0.6198,1.4539,0.280472,0.590489
EURGBP,1.414,0.529,0.6877,1.8379,0.340363,0.66491
EURJPY,1.431,0.504,1.3326,3.7802,0.56221,0.828724
EURUSD,1.312,0.437,1.5195,4.5588,0.607632,0.855935
GBPJPY,1.445,0.537,1.0418,2.8016,0.460565,0.774833
GBPUSD,1.369,0.447,1.0227,3.131,0.464361,0.792791
NZDUSD,1.387,0.563,0.9142,2.2508,0.442429,0.741746
USDCAD,1.257,0.601,1.1077,2.3161,0.499578,0.739616
USDCHF,1.425,0.52,0.7515,2.0581,0.345424,0.691852
USDJPY,1.39,0.525,1.6989,4.4962,0.625185,0.85812
