pair,horizon,share_of_moves_above_cost
AUDJPY,5m,0.496483
AUDJPY,30m,0.745422
AUDJPY,1h,0.808645
AUDJPY,4h,0.899015
AUDJPY,1d,0.9698
AUDUSD,5m,0.34585
AUDUSD,30m,0.653124
AUDUSD,1h,0.73751
AUDUSD,4h,0.865551
AUDUSD,1d,0.958852
EURCHF,5m,0.194908
EURCHF,30m,0.468333
EURCHF,1h,0.567082
EURCHF,4h,0.737922
EURCHF,1d,0.916195
EURGBP,5m,0.272405
EURGBP,30m,0.547634
EURGBP,1h,0.640408
EURGBP,4h,0.787686
EURGBP,1d,0.94564
EURJPY,5m,0.496781
EURJPY,30m,0.744716
EURJPY,1h,0.808603
EURJPY,4h,0.902059
EURJPY,1d,0.97282
EURUSD,5m,0.547472
EURUSD,30m,0.777628
EURUSD,1h,0.837186
EURUSD,4h,0.921066
EURUSD,1d,0.983012
GBPJPY,5m,0.392306
GBPJPY,30m,0.671679
GBPJPY,1h,0.751107
GBPJPY,4h,0.867311
GBPJPY,1d,0.96678
GBPUSD,5m,0.427995
GBPUSD,30m,0.692134
GBPUSD,1h,0.767995
GBPUSD,4h,0.875332
GBPUSD,1d,0.969422
NZDUSD,5m,0.307956
NZDUSD,30m,0.626496
NZDUSD,1h,0.719147
NZDUSD,4h,0.851187
NZDUSD,1d,0.956965
USDCAD,5m,0.329505
USDCAD,30m,0.631792
USDCAD,1h,0.721493
USDCAD,4h,0.853805
USDCAD,1d,0.95923
USDCHF,5m,0.28009
USDCHF,30m,0.572101
USDCHF,1h,0.665695
USDCHF,4h,0.814462
USDCHF,1d,0.946772
USDJPY,5m,0.549498
USDJPY,30m,0.782282
USDJPY,1h,0.840537
USDJPY,4h,0.914562
USDJPY,1d,0.978105
