horizon,currency,variance_ratio_q4,q_value,survives_correction,pairs_it_appears_in
1h,EUR,1.002378,0.9800701332,False,4
1h,USD,1.007818,0.8784236347,False,7
1h,GBP,0.997372,0.9800701332,False,3
1h,JPY,1.005765,0.9800701332,False,4
1h,CHF,0.92934,0.5736517364,False,2
1h,AUD,0.958721,0.1148220603,False,2
1h,CAD,0.95975,0.0515963509,False,1
1h,NZD,0.95739,0.0423177477,True,1
4h,EUR,0.993234,0.9800701332,False,4
4h,USD,1.015801,0.8784236347,False,7
4h,GBP,0.989511,0.9800701332,False,3
4h,JPY,0.982959,0.9623493955,False,4
4h,CHF,0.988346,0.9800701332,False,2
4h,AUD,0.973302,0.8158970587,False,2
4h,CAD,0.969186,0.6103108655,False,1
4h,NZD,1.002368,0.9800701332,False,1
1d,EUR,0.917041,0.3427341442,False,4
1d,USD,1.009516,0.9800701332,False,7
1d,GBP,1.040119,0.8784236347,False,3
1d,JPY,0.997779,0.9800701332,False,4
1d,CHF,0.915222,0.6183811831,False,2
1d,AUD,0.953357,0.6715489601,False,2
1d,CAD,0.901248,0.224724053,False,1
1d,NZD,0.87674,0.0423177477,True,1
