from,to,n,mean_abs_rho,participation_ratio,entropy_bets
2015-01-01,2017-01-01,12359,0.31517,4.57131,5.39514
2015-07-01,2017-07-01,12403,0.32879,4.4307,5.28997
2016-01-01,2018-01-01,12356,0.33038,4.39377,5.26953
2016-07-01,2018-07-01,12353,0.31533,4.59407,5.39453
2017-01-01,2019-01-01,12342,0.33829,4.432,5.30321
2017-07-01,2019-07-01,12295,0.35375,4.24962,5.18766
2018-01-01,2020-01-01,12339,0.35988,4.10831,5.09651
2018-07-01,2020-07-01,12341,0.37207,3.9646,4.96049
2019-01-01,2021-01-01,12363,0.37732,3.91996,4.91603
2019-07-01,2021-07-01,12367,0.38783,3.82613,4.83152
2020-01-01,2022-01-01,12384,0.39936,3.70577,4.73768
2020-07-01,2022-07-01,12383,0.40631,3.6563,4.68544
2021-01-01,2023-01-01,12372,0.40966,3.5738,4.56741
2021-07-01,2023-07-01,12413,0.39977,3.63254,4.59677
2022-01-01,2024-01-01,12344,0.3985,3.61482,4.56804
2022-07-01,2024-07-01,12345,0.3913,3.58522,4.53312
2023-01-01,2025-01-01,12352,0.37075,3.71081,4.61855
