horizon,component,share_of_variance
1h,1,0.375092
1h,2,0.234487
1h,3,0.137466
1h,4,0.107555
1h,5,0.089551
1h,6,0.038019
1h,7,0.017414
1h,8,0.000165
1h,9,0.0001
1h,10,5.6e-05
1h,11,5.2e-05
1h,12,4.3e-05
4h,1,0.378623
4h,2,0.240868
4h,3,0.135911
4h,4,0.102436
4h,5,0.089575
4h,6,0.036092
4h,7,0.016371
4h,8,5.4e-05
4h,9,2.6e-05
4h,10,1.6e-05
4h,11,1.5e-05
4h,12,1.3e-05
1d,1,0.372595
1d,2,0.244095
1d,3,0.13677
1d,4,0.105012
1d,5,0.089062
1d,6,0.035611
1d,7,0.016657
1d,8,8.4e-05
1d,9,3.8e-05
1d,10,2.7e-05
1d,11,2.6e-05
1d,12,2.1e-05
