relationship,horizon,residual_sd_bp,cost_bp_at_1.5x,amplitude_over_cost,break_even_entry_sd
EURCHF+EURUSD+USDCHF,1d,2.285,5.85053,0.3906,2.5604
EURJPY+EURUSD+USDJPY,1d,1.1608,3.87676,0.2994,3.3397
EURGBP+EURUSD+GBPUSD,1d,1.4448,5.05986,0.2855,3.5021
GBPJPY+GBPUSD+USDJPY,1d,1.5104,5.31925,0.2839,3.5217
AUDJPY+AUDUSD+USDJPY,1d,1.4963,6.45506,0.2318,4.314
EURJPY+EURUSD+USDJPY,4h,0.6799,3.96897,0.1713,5.8376
EURJPY+EURUSD+USDJPY,1h,0.6417,3.78568,0.1695,5.8995
EURCHF+EURUSD+USDCHF,4h,0.9692,5.76655,0.1681,5.9498
GBPJPY+GBPUSD+USDJPY,4h,0.7567,5.45026,0.1388,7.2027
EURCHF+EURUSD+USDCHF,1h,0.7016,5.51062,0.1273,7.8544
GBPJPY+GBPUSD+USDJPY,1h,0.6456,5.19396,0.1243,8.0452
EURGBP+EURUSD+GBPUSD,4h,0.6258,5.14231,0.1217,8.2172
AUDJPY+AUDUSD+USDJPY,4h,0.7629,6.52262,0.117,8.5498
AUDJPY+AUDUSD+USDJPY,1h,0.6743,6.28638,0.1073,9.3228
EURGBP+EURUSD+GBPUSD,1h,0.4886,4.93311,0.099,10.0964
