horizon,lead,lagging,lag,rho,rho_without_shock,share_of_rho_from_the_shock,survives,survives_without_shock
1h,EURCHF,USDCHF,12,0.076791,-0.001749,0.9772,True,False
1h,USDCHF,EURCHF,12,0.073996,-0.004192,0.9433,True,False
1h,EURCHF,USDCHF,6,-0.073656,-0.007648,0.8962,True,False
1h,USDCHF,EURCHF,6,-0.067254,-0.004021,0.9402,True,False
1h,EURCHF,USDCHF,1,-0.060222,-0.038449,0.3615,True,True
1h,USDCHF,EURCHF,1,-0.051565,-0.034923,0.3227,True,True
1h,EURCHF,USDCHF,7,0.04578,0.011356,0.7519,True,False
1h,USDCHF,EURCHF,7,0.034941,-0.004946,0.8584,True,False
1h,EURCHF,USDCAD,3,0.031591,0.004834,0.847,True,False
1h,GBPJPY,EURGBP,6,0.028774,0.028591,0.0064,True,True
1h,GBPJPY,EURJPY,5,-0.028363,-0.028746,-0.0135,True,True
1h,USDCHF,EURCHF,10,0.027892,0.003316,0.8811,True,False
1h,EURJPY,GBPJPY,5,-0.027184,-0.027469,-0.0105,True,True
1h,USDCHF,USDCAD,3,0.026895,0.004871,0.8189,True,False
1h,EURCHF,USDCHF,10,0.026598,-0.003869,0.8545,True,False
1h,GBPJPY,GBPUSD,5,-0.025627,-0.025762,-0.0053,True,True
1h,GBPUSD,GBPJPY,5,-0.023284,-0.023165,0.0051,True,True
1h,AUDUSD,EURCHF,9,-0.022826,-0.006598,0.7109,True,False
1h,EURCHF,NZDUSD,3,-0.022662,-0.005241,0.7687,True,False
1h,GBPJPY,GBPUSD,6,-0.021898,-0.022099,-0.0092,True,True
1h,EURJPY,EURGBP,12,-0.021537,-0.021226,0.0144,True,True
1h,EURJPY,GBPUSD,5,-0.020967,-0.021382,-0.0198,True,True
1h,USDJPY,EURGBP,6,0.020501,0.020177,0.0158,True,True
1h,EURGBP,GBPUSD,6,0.020273,0.020101,0.0085,True,True
1h,EURCHF,USDCHF,2,0.020235,-0.002486,0.8771,True,False
1h,AUDJPY,EURCHF,9,-0.020039,-0.003529,0.8239,True,False
1h,EURGBP,GBPJPY,6,0.019962,0.019883,0.004,True,True
1h,GBPUSD,EURJPY,5,-0.019747,-0.019773,-0.0013,True,True
1h,EURCHF,AUDUSD,3,-0.019531,-0.005159,0.7359,True,False
1h,EURUSD,GBPJPY,12,0.018919,0.018729,0.01,True,True
1h,GBPUSD,USDJPY,12,0.018748,0.018721,0.0014,True,True
1h,EURCHF,AUDJPY,3,-0.018142,-0.004178,0.7697,True,False
1h,GBPUSD,EURGBP,4,-0.018035,-0.017894,0.0078,True,True
1h,NZDUSD,USDCAD,12,0.017864,0.01806,-0.011,True,True
1h,EURCHF,USDCHF,5,-0.017539,0.001044,0.9405,True,False
1h,AUDUSD,EURGBP,4,-0.017501,-0.017575,-0.0042,True,True
1h,EURJPY,GBPJPY,1,0.017434,0.017151,0.0162,True,True
1h,EURUSD,EURGBP,12,-0.017306,-0.016945,0.0209,True,True
1h,USDJPY,GBPJPY,5,-0.017154,-0.017454,-0.0175,True,True
1h,AUDJPY,EURGBP,4,-0.017057,-0.017356,-0.0175,True,True
1h,GBPUSD,GBPJPY,12,0.017055,0.017044,0.0006,True,True
1h,USDCHF,AUDJPY,3,-0.016996,-0.00575,0.6617,True,False
1h,GBPJPY,EURGBP,12,-0.016914,-0.016962,-0.0028,True,True
1h,GBPJPY,EURGBP,4,-0.016907,-0.017047,-0.0083,True,True
1h,GBPJPY,AUDJPY,5,-0.016884,-0.017152,-0.0159,True,True
1h,EURJPY,AUDJPY,5,-0.016842,-0.017208,-0.0217,True,True
1h,EURJPY,EURGBP,1,-0.016734,-0.017243,-0.0304,True,True
1h,GBPJPY,EURUSD,5,-0.016613,-0.017003,-0.0235,True,True
1h,EURCHF,EURGBP,5,0.016388,0.01168,0.2873,True,False
