pair,horizon,mean_abs_rho
EURUSD,1h,0.416004
GBPUSD,1h,0.429613
USDJPY,1h,0.338915
USDCHF,1h,0.305532
AUDUSD,1h,0.416466
USDCAD,1h,0.340652
NZDUSD,1h,0.383407
EURGBP,1h,0.219163
EURJPY,1h,0.363349
GBPJPY,1h,0.390763
EURCHF,1h,0.202533
AUDJPY,1h,0.39429
EURUSD,4h,0.419847
GBPUSD,4h,0.438035
USDJPY,4h,0.349087
USDCHF,4h,0.312935
AUDUSD,4h,0.419614
USDCAD,4h,0.351478
NZDUSD,4h,0.385916
EURGBP,4h,0.222576
EURJPY,4h,0.363483
GBPJPY,4h,0.396307
EURCHF,4h,0.211415
AUDJPY,4h,0.39864
EURUSD,1d,0.407695
GBPUSD,1d,0.433605
USDJPY,1d,0.353949
USDCHF,1d,0.305302
AUDUSD,1d,0.417517
USDCAD,1d,0.351914
NZDUSD,1d,0.382335
EURGBP,1d,0.226187
EURJPY,1d,0.347244
GBPJPY,1d,0.394025
EURCHF,1d,0.205238
AUDJPY,1d,0.390669
