pair,ts,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,mid_open,mid_high,mid_low,mid_close,tick_count,spread_mean,spread_max
EURUSD,2026-07-14 00:00:00+00:00,1.0999,1.0999,1.0999,1.0999,1.1001,1.1001,1.1001,1.1001,1.1,1.1,1.1,1.1,100,0.0002,0.0002
EURUSD,2026-07-14 01:00:00+00:00,1.0999,1.0999,1.0999,1.0999,1.1001,1.1001,1.1001,1.1001,1.1,1.1,1.1,1.1,101,0.0002,0.0002
EURUSD,2026-07-14 02:00:00+00:00,1.0999,1.0999,1.0999,1.0999,1.1001,1.1001,1.1001,1.1001,1.1,1.1,1.1,1.1,102,0.0002,0.0002
EURUSD,2026-07-14 03:00:00+00:00,1.0999,1.0999,1.0999,1.0999,1.1001,1.1001,1.1001,1.1001,1.1,1.1,1.1,1.1,103,0.0002,0.0002
EURUSD,2026-07-14 04:00:00+00:00,1.0999,1.1099,1.0999,1.1099,1.1001,1.1101,1.1001,1.1101,1.1,1.11,1.1,1.11,104,0.0002,0.0002
EURUSD,2026-07-14 05:00:00+00:00,1.1119,1.1199,1.1119,1.1199,1.1121,1.1201,1.1121,1.1201,1.112,1.12,1.112,1.12,105,0.0002,0.0002
EURUSD,2026-07-14 06:00:00+00:00,1.1199,1.1299,1.1199,1.1299,1.1201,1.1301,1.1201,1.1301,1.12,1.13,1.12,1.13,106,0.0002,0.0002
EURUSD,2026-07-14 07:00:00+00:00,1.1299,1.1299,1.1199,1.1199,1.1301,1.1301,1.1201,1.1201,1.13,1.13,1.12,1.12,107,0.0002,0.0002
EURUSD,2026-07-14 08:00:00+00:00,1.1199,1.1199,1.0999,1.0999,1.1201,1.1201,1.1001,1.1001,1.12,1.12,1.1,1.1,108,0.0002,0.0002
EURUSD,2026-07-14 09:00:00+00:00,1.0979,1.0979,1.0899,1.0899,1.0981,1.0981,1.0901,1.0901,1.098,1.098,1.09,1.09,109,0.0002,0.0002
